,data_version,target,date,location,type,quantile,value
247,2020-11-13,4 day R,2020-11-08,DE,point,,0.84
248,2020-11-13,4 day R,2020-11-09,DE,point,,0.92
249,2020-11-13,4 day R,2020-03-06,DE,quantil,0.025,2.18
250,2020-11-13,4 day R,2020-03-07,DE,quantil,0.025,2.51
251,2020-11-13,4 day R,2020-03-08,DE,quantil,0.025,2.67
252,2020-11-13,4 day R,2020-03-09,DE,quantil,0.025,3.14
253,2020-11-13,4 day R,2020-03-10,DE,quantil,0.025,3.32
254,2020-11-13,4 day R,2020-03-11,DE,quantil,0.025,3.33
255,2020-11-13,4 day R,2020-03-12,DE,quantil,0.025,3.14
256,2020-11-13,4 day R,2020-03-13,DE,quantil,0.025,2.66
257,2020-11-13,4 day R,2020-03-14,DE,quantil,0.025,2.24
258,2020-11-13,4 day R,2020-03-15,DE,quantil,0.025,1.85
259,2020-11-13,4 day R,2020-03-16,DE,quantil,0.025,1.69
260,2020-11-13,4 day R,2020-03-17,DE,quantil,0.025,1.47
261,2020-11-13,4 day R,2020-03-18,DE,quantil,0.025,1.35
262,2020-11-13,4 day R,2020-03-19,DE,quantil,0.025,1.23
263,2020-11-13,4 day R,2020-03-20,DE,quantil,0.025,1.05
264,2020-11-13,4 day R,2020-03-21,DE,quantil,0.025,0.96
265,2020-11-13,4 day R,2020-03-22,DE,quantil,0.025,0.86
266,2020-11-13,4 day R,2020-03-23,DE,quantil,0.025,0.87
267,2020-11-13,4 day R,2020-03-24,DE,quantil,0.025,0.84
268,2020-11-13,4 day R,2020-03-25,DE,quantil,0.025,0.87
269,2020-11-13,4 day R,2020-03-26,DE,quantil,0.025,0.95
270,2020-11-13,4 day R,2020-03-27,DE,quantil,0.025,0.88
271,2020-11-13,4 day R,2020-03-28,DE,quantil,0.025,0.93
272,2020-11-13,4 day R,2020-03-29,DE,quantil,0.025,0.87
273,2020-11-13,4 day R,2020-03-30,DE,quantil,0.025,0.88
274,2020-11-13,4 day R,2020-03-31,DE,quantil,0.025,0.9
275,2020-11-13,4 day R,2020-04-01,DE,quantil,0.025,0.92
276,2020-11-13,4 day R,2020-04-02,DE,quantil,0.025,1.02
277,2020-11-13,4 day R,2020-04-03,DE,quantil,0.025,0.95
278,2020-11-13,4 day R,2020-04-04,DE,quantil,0.025,0.95
279,2020-11-13,4 day R,2020-04-05,DE,quantil,0.025,0.85
280,2020-11-13,4 day R,2020-04-06,DE,quantil,0.025,0.8
281,2020-11-13,4 day R,2020-04-07,DE,quantil,0.025,0.79
282,2020-11-13,4 day R,2020-04-08,DE,quantil,0.025,0.81
283,2020-11-13,4 day R,2020-04-09,DE,quantil,0.025,0.9
284,2020-11-13,4 day R,2020-04-10,DE,quantil,0.025,0.85
285,2020-11-13,4 day R,2020-04-11,DE,quantil,0.025,0.81
286,2020-11-13,4 day R,2020-04-12,DE,quantil,0.025,0.74
287,2020-11-13,4 day R,2020-04-13,DE,quantil,0.025,0.67
288,2020-11-13,4 day R,2020-04-14,DE,quantil,0.025,0.7
289,2020-11-13,4 day R,2020-04-15,DE,quantil,0.025,0.77
290,2020-11-13,4 day R,2020-04-16,DE,quantil,0.025,0.82
291,2020-11-13,4 day R,2020-04-17,DE,quantil,0.025,0.88
292,2020-11-13,4 day R,2020-04-18,DE,quantil,0.025,0.85
293,2020-11-13,4 day R,2020-04-19,DE,quantil,0.025,0.78
294,2020-11-13,4 day R,2020-04-20,DE,quantil,0.025,0.78
295,2020-11-13,4 day R,2020-04-21,DE,quantil,0.025,0.76
296,2020-11-13,4 day R,2020-04-22,DE,quantil,0.025,0.8
297,2020-11-13,4 day R,2020-04-23,DE,quantil,0.025,0.87
298,2020-11-13,4 day R,2020-04-24,DE,quantil,0.025,0.83
299,2020-11-13,4 day R,2020-04-25,DE,quantil,0.025,0.81
300,2020-11-13,4 day R,2020-04-26,DE,quantil,0.025,0.77
301,2020-11-13,4 day R,2020-04-27,DE,quantil,0.025,0.74
302,2020-11-13,4 day R,2020-04-28,DE,quantil,0.025,0.76
303,2020-11-13,4 day R,2020-04-29,DE,quantil,0.025,0.79
304,2020-11-13,4 day R,2020-04-30,DE,quantil,0.025,0.87
305,2020-11-13,4 day R,2020-05-01,DE,quantil,0.025,0.83
306,2020-11-13,4 day R,2020-05-02,DE,quantil,0.025,0.83
307,2020-11-13,4 day R,2020-05-03,DE,quantil,0.025,0.83
308,2020-11-13,4 day R,2020-05-04,DE,quantil,0.025,0.81
309,2020-11-13,4 day R,2020-05-05,DE,quantil,0.025,0.88
310,2020-11-13,4 day R,2020-05-06,DE,quantil,0.025,0.93
311,2020-11-13,4 day R,2020-05-07,DE,quantil,0.025,0.94
312,2020-11-13,4 day R,2020-05-08,DE,quantil,0.025,0.89
313,2020-11-13,4 day R,2020-05-09,DE,quantil,0.025,0.82
314,2020-11-13,4 day R,2020-05-10,DE,quantil,0.025,0.76
315,2020-11-13,4 day R,2020-05-11,DE,quantil,0.025,0.76
316,2020-11-13,4 day R,2020-05-12,DE,quantil,0.025,0.8
317,2020-11-13,4 day R,2020-05-13,DE,quantil,0.025,0.86
318,2020-11-13,4 day R,2020-05-14,DE,quantil,0.025,0.92
319,2020-11-13,4 day R,2020-05-15,DE,quantil,0.025,0.94
320,2020-11-13,4 day R,2020-05-16,DE,quantil,0.025,0.94
321,2020-11-13,4 day R,2020-05-17,DE,quantil,0.025,0.88
322,2020-11-13,4 day R,2020-05-18,DE,quantil,0.025,0.92
323,2020-11-13,4 day R,2020-05-19,DE,quantil,0.025,0.83
324,2020-11-13,4 day R,2020-05-20,DE,quantil,0.025,0.86
325,2020-11-13,4 day R,2020-05-21,DE,quantil,0.025,0.89
326,2020-11-13,4 day R,2020-05-22,DE,quantil,0.025,0.76
327,2020-11-13,4 day R,2020-05-23,DE,quantil,0.025,0.78
328,2020-11-13,4 day R,2020-05-24,DE,quantil,0.025,0.7
329,2020-11-13,4 day R,2020-05-25,DE,quantil,0.025,0.75
330,2020-11-13,4 day R,2020-05-26,DE,quantil,0.025,0.88
331,2020-11-13,4 day R,2020-05-27,DE,quantil,0.025,0.98
332,2020-11-13,4 day R,2020-05-28,DE,quantil,0.025,1.11
333,2020-11-13,4 day R,2020-05-29,DE,quantil,0.025,0.97
334,2020-11-13,4 day R,2020-05-30,DE,quantil,0.025,0.87
335,2020-11-13,4 day R,2020-05-31,DE,quantil,0.025,0.72
336,2020-11-13,4 day R,2020-06-01,DE,quantil,0.025,0.68
337,2020-11-13,4 day R,2020-06-02,DE,quantil,0.025,0.79
338,2020-11-13,4 day R,2020-06-03,DE,quantil,0.025,0.94
339,2020-11-13,4 day R,2020-06-04,DE,quantil,0.025,1.13
340,2020-11-13,4 day R,2020-06-05,DE,quantil,0.025,1.16
341,2020-11-13,4 day R,2020-06-06,DE,quantil,0.025,0.97
342,2020-11-13,4 day R,2020-06-07,DE,quantil,0.025,0.79
343,2020-11-13,4 day R,2020-06-08,DE,quantil,0.025,0.8
344,2020-11-13,4 day R,2020-06-09,DE,quantil,0.025,0.89
345,2020-11-13,4 day R,2020-06-10,DE,quantil,0.025,1.07
346,2020-11-13,4 day R,2020-06-11,DE,quantil,0.025,1.32
347,2020-11-13,4 day R,2020-06-12,DE,quantil,0.025,1.23
348,2020-11-13,4 day R,2020-06-13,DE,quantil,0.025,1.05
349,2020-11-13,4 day R,2020-06-14,DE,quantil,0.025,0.91
350,2020-11-13,4 day R,2020-06-15,DE,quantil,0.025,1.0
351,2020-11-13,4 day R,2020-06-16,DE,quantil,0.025,1.47
352,2020-11-13,4 day R,2020-06-17,DE,quantil,0.025,1.74
353,2020-11-13,4 day R,2020-06-18,DE,quantil,0.025,1.94
354,2020-11-13,4 day R,2020-06-19,DE,quantil,0.025,1.59
355,2020-11-13,4 day R,2020-06-20,DE,quantil,0.025,0.87
356,2020-11-13,4 day R,2020-06-21,DE,quantil,0.025,0.68
357,2020-11-13,4 day R,2020-06-22,DE,quantil,0.025,0.62
358,2020-11-13,4 day R,2020-06-23,DE,quantil,0.025,0.58
359,2020-11-13,4 day R,2020-06-24,DE,quantil,0.025,0.75
360,2020-11-13,4 day R,2020-06-25,DE,quantil,0.025,0.88
361,2020-11-13,4 day R,2020-06-26,DE,quantil,0.025,0.88
362,2020-11-13,4 day R,2020-06-27,DE,quantil,0.025,0.91
363,2020-11-13,4 day R,2020-06-28,DE,quantil,0.025,0.83
364,2020-11-13,4 day R,2020-06-29,DE,quantil,0.025,0.81
365,2020-11-13,4 day R,2020-06-30,DE,quantil,0.025,0.84
366,2020-11-13,4 day R,2020-07-01,DE,quantil,0.025,0.91
367,2020-11-13,4 day R,2020-07-02,DE,quantil,0.025,1.02
368,2020-11-13,4 day R,2020-07-03,DE,quantil,0.025,0.96
369,2020-11-13,4 day R,2020-07-04,DE,quantil,0.025,0.87
370,2020-11-13,4 day R,2020-07-05,DE,quantil,0.025,0.78
371,2020-11-13,4 day R,2020-07-06,DE,quantil,0.025,0.78
372,2020-11-13,4 day R,2020-07-07,DE,quantil,0.025,0.84
373,2020-11-13,4 day R,2020-07-08,DE,quantil,0.025,0.97
374,2020-11-13,4 day R,2020-07-09,DE,quantil,0.025,1.11
375,2020-11-13,4 day R,2020-07-10,DE,quantil,0.025,1.12
376,2020-11-13,4 day R,2020-07-11,DE,quantil,0.025,1.1
377,2020-11-13,4 day R,2020-07-12,DE,quantil,0.025,1.07
378,2020-11-13,4 day R,2020-07-13,DE,quantil,0.025,1.11
379,2020-11-13,4 day R,2020-07-14,DE,quantil,0.025,1.13
380,2020-11-13,4 day R,2020-07-15,DE,quantil,0.025,1.23
381,2020-11-13,4 day R,2020-07-16,DE,quantil,0.025,1.29
382,2020-11-13,4 day R,2020-07-17,DE,quantil,0.025,1.16
383,2020-11-13,4 day R,2020-07-18,DE,quantil,0.025,1.09
384,2020-11-13,4 day R,2020-07-19,DE,quantil,0.025,0.98
385,2020-11-13,4 day R,2020-07-20,DE,quantil,0.025,1.03
386,2020-11-13,4 day R,2020-07-21,DE,quantil,0.025,1.11
387,2020-11-13,4 day R,2020-07-22,DE,quantil,0.025,1.25
388,2020-11-13,4 day R,2020-07-23,DE,quantil,0.025,1.35
389,2020-11-13,4 day R,2020-07-24,DE,quantil,0.025,1.22
390,2020-11-13,4 day R,2020-07-25,DE,quantil,0.025,1.1
391,2020-11-13,4 day R,2020-07-26,DE,quantil,0.025,0.95
392,2020-11-13,4 day R,2020-07-27,DE,quantil,0.025,0.94
393,2020-11-13,4 day R,2020-07-28,DE,quantil,0.025,0.96
394,2020-11-13,4 day R,2020-07-29,DE,quantil,0.025,1.04
395,2020-11-13,4 day R,2020-07-30,DE,quantil,0.025,1.15
396,2020-11-13,4 day R,2020-07-31,DE,quantil,0.025,1.07
397,2020-11-13,4 day R,2020-08-01,DE,quantil,0.025,1.07
398,2020-11-13,4 day R,2020-08-02,DE,quantil,0.025,1.07
399,2020-11-13,4 day R,2020-08-03,DE,quantil,0.025,1.12
400,2020-11-13,4 day R,2020-08-04,DE,quantil,0.025,1.2
401,2020-11-13,4 day R,2020-08-05,DE,quantil,0.025,1.23
402,2020-11-13,4 day R,2020-08-06,DE,quantil,0.025,1.2
403,2020-11-13,4 day R,2020-08-07,DE,quantil,0.025,1.09
404,2020-11-13,4 day R,2020-08-08,DE,quantil,0.025,1.03
405,2020-11-13,4 day R,2020-08-09,DE,quantil,0.025,1.01
406,2020-11-13,4 day R,2020-08-10,DE,quantil,0.025,1.08
407,2020-11-13,4 day R,2020-08-11,DE,quantil,0.025,1.15
408,2020-11-13,4 day R,2020-08-12,DE,quantil,0.025,1.22
409,2020-11-13,4 day R,2020-08-13,DE,quantil,0.025,1.28
410,2020-11-13,4 day R,2020-08-14,DE,quantil,0.025,1.15
411,2020-11-13,4 day R,2020-08-15,DE,quantil,0.025,1.06
412,2020-11-13,4 day R,2020-08-16,DE,quantil,0.025,0.97
413,2020-11-13,4 day R,2020-08-17,DE,quantil,0.025,0.92
414,2020-11-13,4 day R,2020-08-18,DE,quantil,0.025,0.96
415,2020-11-13,4 day R,2020-08-19,DE,quantil,0.025,1.0
416,2020-11-13,4 day R,2020-08-20,DE,quantil,0.025,1.02
417,2020-11-13,4 day R,2020-08-21,DE,quantil,0.025,0.96
418,2020-11-13,4 day R,2020-08-22,DE,quantil,0.025,0.87
419,2020-11-13,4 day R,2020-08-23,DE,quantil,0.025,0.83
420,2020-11-13,4 day R,2020-08-24,DE,quantil,0.025,0.89
