Unnamed: 0,data_version,target,date,location,type,quantile,value
157,2020-09-26,4 day R,2020-08-10,DE,point,,1.11
158,2020-09-26,4 day R,2020-08-11,DE,point,,1.18
159,2020-09-26,4 day R,2020-08-12,DE,point,,1.25
160,2020-09-26,4 day R,2020-08-13,DE,point,,1.31
161,2020-09-26,4 day R,2020-08-14,DE,point,,1.18
162,2020-09-26,4 day R,2020-08-15,DE,point,,1.09
163,2020-09-26,4 day R,2020-08-16,DE,point,,0.99
164,2020-09-26,4 day R,2020-08-17,DE,point,,0.95
165,2020-09-26,4 day R,2020-08-18,DE,point,,0.99
166,2020-09-26,4 day R,2020-08-19,DE,point,,1.03
167,2020-09-26,4 day R,2020-08-20,DE,point,,1.05
168,2020-09-26,4 day R,2020-08-21,DE,point,,0.99
169,2020-09-26,4 day R,2020-08-22,DE,point,,0.9
170,2020-09-26,4 day R,2020-08-23,DE,point,,0.86
171,2020-09-26,4 day R,2020-08-24,DE,point,,0.92
172,2020-09-26,4 day R,2020-08-25,DE,point,,1.0
173,2020-09-26,4 day R,2020-08-26,DE,point,,1.09
174,2020-09-26,4 day R,2020-08-27,DE,point,,1.14
175,2020-09-26,4 day R,2020-08-28,DE,point,,1.01
176,2020-09-26,4 day R,2020-08-29,DE,point,,0.9
177,2020-09-26,4 day R,2020-08-30,DE,point,,0.85
178,2020-09-26,4 day R,2020-08-31,DE,point,,0.86
179,2020-09-26,4 day R,2020-09-01,DE,point,,0.98
180,2020-09-26,4 day R,2020-09-02,DE,point,,1.14
181,2020-09-26,4 day R,2020-09-03,DE,point,,1.24
182,2020-09-26,4 day R,2020-09-04,DE,point,,1.19
183,2020-09-26,4 day R,2020-09-05,DE,point,,1.04
184,2020-09-26,4 day R,2020-09-06,DE,point,,0.97
185,2020-09-26,4 day R,2020-09-07,DE,point,,0.99
186,2020-09-26,4 day R,2020-09-08,DE,point,,1.07
187,2020-09-26,4 day R,2020-09-09,DE,point,,1.23
188,2020-09-26,4 day R,2020-09-10,DE,point,,1.3
189,2020-09-26,4 day R,2020-09-11,DE,point,,1.23
190,2020-09-26,4 day R,2020-09-12,DE,point,,1.14
191,2020-09-26,4 day R,2020-09-13,DE,point,,1.05
192,2020-09-26,4 day R,2020-09-14,DE,point,,1.07
193,2020-09-26,4 day R,2020-09-15,DE,point,,1.11
194,2020-09-26,4 day R,2020-09-16,DE,point,,1.18
195,2020-09-26,4 day R,2020-09-17,DE,point,,1.21
196,2020-09-26,4 day R,2020-09-18,DE,point,,1.06
197,2020-09-26,4 day R,2020-09-19,DE,point,,0.94
198,2020-09-26,4 day R,2020-09-20,DE,point,,0.87
199,2020-09-26,4 day R,2020-09-21,DE,point,,0.92
200,2020-09-26,4 day R,2020-09-22,DE,point,,1.08
201,2020-09-26,4 day R,2020-03-06,DE,quantil,0.025,2.18
202,2020-09-26,4 day R,2020-03-07,DE,quantil,0.025,2.5
203,2020-09-26,4 day R,2020-03-08,DE,quantil,0.025,2.66
204,2020-09-26,4 day R,2020-03-09,DE,quantil,0.025,3.14
205,2020-09-26,4 day R,2020-03-10,DE,quantil,0.025,3.32
206,2020-09-26,4 day R,2020-03-11,DE,quantil,0.025,3.33
207,2020-09-26,4 day R,2020-03-12,DE,quantil,0.025,3.14
208,2020-09-26,4 day R,2020-03-13,DE,quantil,0.025,2.66
209,2020-09-26,4 day R,2020-03-14,DE,quantil,0.025,2.23
210,2020-09-26,4 day R,2020-03-15,DE,quantil,0.025,1.84
211,2020-09-26,4 day R,2020-03-16,DE,quantil,0.025,1.69
212,2020-09-26,4 day R,2020-03-17,DE,quantil,0.025,1.46
213,2020-09-26,4 day R,2020-03-18,DE,quantil,0.025,1.34
214,2020-09-26,4 day R,2020-03-19,DE,quantil,0.025,1.24
215,2020-09-26,4 day R,2020-03-20,DE,quantil,0.025,1.05
216,2020-09-26,4 day R,2020-03-21,DE,quantil,0.025,0.96
217,2020-09-26,4 day R,2020-03-22,DE,quantil,0.025,0.85
218,2020-09-26,4 day R,2020-03-23,DE,quantil,0.025,0.87
219,2020-09-26,4 day R,2020-03-24,DE,quantil,0.025,0.84
220,2020-09-26,4 day R,2020-03-25,DE,quantil,0.025,0.87
221,2020-09-26,4 day R,2020-03-26,DE,quantil,0.025,0.95
222,2020-09-26,4 day R,2020-03-27,DE,quantil,0.025,0.88
223,2020-09-26,4 day R,2020-03-28,DE,quantil,0.025,0.93
224,2020-09-26,4 day R,2020-03-29,DE,quantil,0.025,0.87
225,2020-09-26,4 day R,2020-03-30,DE,quantil,0.025,0.88
226,2020-09-26,4 day R,2020-03-31,DE,quantil,0.025,0.9
227,2020-09-26,4 day R,2020-04-01,DE,quantil,0.025,0.92
228,2020-09-26,4 day R,2020-04-02,DE,quantil,0.025,1.02
229,2020-09-26,4 day R,2020-04-03,DE,quantil,0.025,0.95
230,2020-09-26,4 day R,2020-04-04,DE,quantil,0.025,0.95
231,2020-09-26,4 day R,2020-04-05,DE,quantil,0.025,0.85
232,2020-09-26,4 day R,2020-04-06,DE,quantil,0.025,0.8
233,2020-09-26,4 day R,2020-04-07,DE,quantil,0.025,0.79
234,2020-09-26,4 day R,2020-04-08,DE,quantil,0.025,0.82
235,2020-09-26,4 day R,2020-04-09,DE,quantil,0.025,0.9
236,2020-09-26,4 day R,2020-04-10,DE,quantil,0.025,0.85
237,2020-09-26,4 day R,2020-04-11,DE,quantil,0.025,0.8
238,2020-09-26,4 day R,2020-04-12,DE,quantil,0.025,0.74
239,2020-09-26,4 day R,2020-04-13,DE,quantil,0.025,0.67
240,2020-09-26,4 day R,2020-04-14,DE,quantil,0.025,0.7
241,2020-09-26,4 day R,2020-04-15,DE,quantil,0.025,0.77
242,2020-09-26,4 day R,2020-04-16,DE,quantil,0.025,0.82
243,2020-09-26,4 day R,2020-04-17,DE,quantil,0.025,0.88
244,2020-09-26,4 day R,2020-04-18,DE,quantil,0.025,0.85
245,2020-09-26,4 day R,2020-04-19,DE,quantil,0.025,0.78
246,2020-09-26,4 day R,2020-04-20,DE,quantil,0.025,0.78
247,2020-09-26,4 day R,2020-04-21,DE,quantil,0.025,0.76
248,2020-09-26,4 day R,2020-04-22,DE,quantil,0.025,0.8
249,2020-09-26,4 day R,2020-04-23,DE,quantil,0.025,0.88
250,2020-09-26,4 day R,2020-04-24,DE,quantil,0.025,0.83
251,2020-09-26,4 day R,2020-04-25,DE,quantil,0.025,0.81
252,2020-09-26,4 day R,2020-04-26,DE,quantil,0.025,0.77
253,2020-09-26,4 day R,2020-04-27,DE,quantil,0.025,0.74
254,2020-09-26,4 day R,2020-04-28,DE,quantil,0.025,0.76
255,2020-09-26,4 day R,2020-04-29,DE,quantil,0.025,0.78
256,2020-09-26,4 day R,2020-04-30,DE,quantil,0.025,0.86
257,2020-09-26,4 day R,2020-05-01,DE,quantil,0.025,0.83
258,2020-09-26,4 day R,2020-05-02,DE,quantil,0.025,0.82
259,2020-09-26,4 day R,2020-05-03,DE,quantil,0.025,0.83
260,2020-09-26,4 day R,2020-05-04,DE,quantil,0.025,0.81
261,2020-09-26,4 day R,2020-05-05,DE,quantil,0.025,0.87
262,2020-09-26,4 day R,2020-05-06,DE,quantil,0.025,0.93
263,2020-09-26,4 day R,2020-05-07,DE,quantil,0.025,0.94
264,2020-09-26,4 day R,2020-05-08,DE,quantil,0.025,0.89
265,2020-09-26,4 day R,2020-05-09,DE,quantil,0.025,0.82
266,2020-09-26,4 day R,2020-05-10,DE,quantil,0.025,0.76
267,2020-09-26,4 day R,2020-05-11,DE,quantil,0.025,0.76
268,2020-09-26,4 day R,2020-05-12,DE,quantil,0.025,0.8
269,2020-09-26,4 day R,2020-05-13,DE,quantil,0.025,0.87
270,2020-09-26,4 day R,2020-05-14,DE,quantil,0.025,0.91
271,2020-09-26,4 day R,2020-05-15,DE,quantil,0.025,0.93
272,2020-09-26,4 day R,2020-05-16,DE,quantil,0.025,0.94
273,2020-09-26,4 day R,2020-05-17,DE,quantil,0.025,0.87
274,2020-09-26,4 day R,2020-05-18,DE,quantil,0.025,0.92
275,2020-09-26,4 day R,2020-05-19,DE,quantil,0.025,0.84
276,2020-09-26,4 day R,2020-05-20,DE,quantil,0.025,0.86
277,2020-09-26,4 day R,2020-05-21,DE,quantil,0.025,0.89
278,2020-09-26,4 day R,2020-05-22,DE,quantil,0.025,0.76
279,2020-09-26,4 day R,2020-05-23,DE,quantil,0.025,0.78
280,2020-09-26,4 day R,2020-05-24,DE,quantil,0.025,0.69
281,2020-09-26,4 day R,2020-05-25,DE,quantil,0.025,0.75
282,2020-09-26,4 day R,2020-05-26,DE,quantil,0.025,0.87
283,2020-09-26,4 day R,2020-05-27,DE,quantil,0.025,0.97
284,2020-09-26,4 day R,2020-05-28,DE,quantil,0.025,1.1
285,2020-09-26,4 day R,2020-05-29,DE,quantil,0.025,0.97
286,2020-09-26,4 day R,2020-05-30,DE,quantil,0.025,0.86
287,2020-09-26,4 day R,2020-05-31,DE,quantil,0.025,0.72
288,2020-09-26,4 day R,2020-06-01,DE,quantil,0.025,0.68
289,2020-09-26,4 day R,2020-06-02,DE,quantil,0.025,0.79
290,2020-09-26,4 day R,2020-06-03,DE,quantil,0.025,0.93
291,2020-09-26,4 day R,2020-06-04,DE,quantil,0.025,1.12
292,2020-09-26,4 day R,2020-06-05,DE,quantil,0.025,1.15
293,2020-09-26,4 day R,2020-06-06,DE,quantil,0.025,0.97
294,2020-09-26,4 day R,2020-06-07,DE,quantil,0.025,0.8
295,2020-09-26,4 day R,2020-06-08,DE,quantil,0.025,0.8
296,2020-09-26,4 day R,2020-06-09,DE,quantil,0.025,0.89
297,2020-09-26,4 day R,2020-06-10,DE,quantil,0.025,1.08
298,2020-09-26,4 day R,2020-06-11,DE,quantil,0.025,1.34
299,2020-09-26,4 day R,2020-06-12,DE,quantil,0.025,1.23
300,2020-09-26,4 day R,2020-06-13,DE,quantil,0.025,1.06
301,2020-09-26,4 day R,2020-06-14,DE,quantil,0.025,0.91
302,2020-09-26,4 day R,2020-06-15,DE,quantil,0.025,1.0
303,2020-09-26,4 day R,2020-06-16,DE,quantil,0.025,1.47
304,2020-09-26,4 day R,2020-06-17,DE,quantil,0.025,1.73
305,2020-09-26,4 day R,2020-06-18,DE,quantil,0.025,1.93
306,2020-09-26,4 day R,2020-06-19,DE,quantil,0.025,1.61
307,2020-09-26,4 day R,2020-06-20,DE,quantil,0.025,0.87
308,2020-09-26,4 day R,2020-06-21,DE,quantil,0.025,0.68
309,2020-09-26,4 day R,2020-06-22,DE,quantil,0.025,0.61
310,2020-09-26,4 day R,2020-06-23,DE,quantil,0.025,0.58
311,2020-09-26,4 day R,2020-06-24,DE,quantil,0.025,0.75
312,2020-09-26,4 day R,2020-06-25,DE,quantil,0.025,0.87
313,2020-09-26,4 day R,2020-06-26,DE,quantil,0.025,0.88
314,2020-09-26,4 day R,2020-06-27,DE,quantil,0.025,0.91
315,2020-09-26,4 day R,2020-06-28,DE,quantil,0.025,0.84
316,2020-09-26,4 day R,2020-06-29,DE,quantil,0.025,0.82
317,2020-09-26,4 day R,2020-06-30,DE,quantil,0.025,0.84
318,2020-09-26,4 day R,2020-07-01,DE,quantil,0.025,0.92
319,2020-09-26,4 day R,2020-07-02,DE,quantil,0.025,1.02
320,2020-09-26,4 day R,2020-07-03,DE,quantil,0.025,0.96
321,2020-09-26,4 day R,2020-07-04,DE,quantil,0.025,0.88
322,2020-09-26,4 day R,2020-07-05,DE,quantil,0.025,0.77
323,2020-09-26,4 day R,2020-07-06,DE,quantil,0.025,0.78
324,2020-09-26,4 day R,2020-07-07,DE,quantil,0.025,0.84
325,2020-09-26,4 day R,2020-07-08,DE,quantil,0.025,0.95
326,2020-09-26,4 day R,2020-07-09,DE,quantil,0.025,1.11
327,2020-09-26,4 day R,2020-07-10,DE,quantil,0.025,1.11
328,2020-09-26,4 day R,2020-07-11,DE,quantil,0.025,1.1
329,2020-09-26,4 day R,2020-07-12,DE,quantil,0.025,1.07
330,2020-09-26,4 day R,2020-07-13,DE,quantil,0.025,1.11
331,2020-09-26,4 day R,2020-07-14,DE,quantil,0.025,1.13
332,2020-09-26,4 day R,2020-07-15,DE,quantil,0.025,1.22
333,2020-09-26,4 day R,2020-07-16,DE,quantil,0.025,1.29
334,2020-09-26,4 day R,2020-07-17,DE,quantil,0.025,1.17
335,2020-09-26,4 day R,2020-07-18,DE,quantil,0.025,1.09
336,2020-09-26,4 day R,2020-07-19,DE,quantil,0.025,0.99
337,2020-09-26,4 day R,2020-07-20,DE,quantil,0.025,1.04
338,2020-09-26,4 day R,2020-07-21,DE,quantil,0.025,1.11
339,2020-09-26,4 day R,2020-07-22,DE,quantil,0.025,1.24
340,2020-09-26,4 day R,2020-07-23,DE,quantil,0.025,1.34
341,2020-09-26,4 day R,2020-07-24,DE,quantil,0.025,1.21
342,2020-09-26,4 day R,2020-07-25,DE,quantil,0.025,1.1
343,2020-09-26,4 day R,2020-07-26,DE,quantil,0.025,0.95
344,2020-09-26,4 day R,2020-07-27,DE,quantil,0.025,0.94
345,2020-09-26,4 day R,2020-07-28,DE,quantil,0.025,0.96
346,2020-09-26,4 day R,2020-07-29,DE,quantil,0.025,1.04
347,2020-09-26,4 day R,2020-07-30,DE,quantil,0.025,1.15
348,2020-09-26,4 day R,2020-07-31,DE,quantil,0.025,1.08
349,2020-09-26,4 day R,2020-08-01,DE,quantil,0.025,1.07
350,2020-09-26,4 day R,2020-08-02,DE,quantil,0.025,1.08
351,2020-09-26,4 day R,2020-08-03,DE,quantil,0.025,1.13
352,2020-09-26,4 day R,2020-08-04,DE,quantil,0.025,1.2
353,2020-09-26,4 day R,2020-08-05,DE,quantil,0.025,1.24
354,2020-09-26,4 day R,2020-08-06,DE,quantil,0.025,1.2
355,2020-09-26,4 day R,2020-08-07,DE,quantil,0.025,1.09
356,2020-09-26,4 day R,2020-08-08,DE,quantil,0.025,1.04
357,2020-09-26,4 day R,2020-08-09,DE,quantil,0.025,1.01
358,2020-09-26,4 day R,2020-08-10,DE,quantil,0.025,1.07
359,2020-09-26,4 day R,2020-08-11,DE,quantil,0.025,1.15
360,2020-09-26,4 day R,2020-08-12,DE,quantil,0.025,1.22
361,2020-09-26,4 day R,2020-08-13,DE,quantil,0.025,1.27
362,2020-09-26,4 day R,2020-08-14,DE,quantil,0.025,1.14
363,2020-09-26,4 day R,2020-08-15,DE,quantil,0.025,1.06
364,2020-09-26,4 day R,2020-08-16,DE,quantil,0.025,0.97
365,2020-09-26,4 day R,2020-08-17,DE,quantil,0.025,0.92
366,2020-09-26,4 day R,2020-08-18,DE,quantil,0.025,0.96
367,2020-09-26,4 day R,2020-08-19,DE,quantil,0.025,1.0
368,2020-09-26,4 day R,2020-08-20,DE,quantil,0.025,1.02
369,2020-09-26,4 day R,2020-08-21,DE,quantil,0.025,0.96
370,2020-09-26,4 day R,2020-08-22,DE,quantil,0.025,0.87
371,2020-09-26,4 day R,2020-08-23,DE,quantil,0.025,0.83
372,2020-09-26,4 day R,2020-08-24,DE,quantil,0.025,0.9
373,2020-09-26,4 day R,2020-08-25,DE,quantil,0.025,0.97
374,2020-09-26,4 day R,2020-08-26,DE,quantil,0.025,1.06
375,2020-09-26,4 day R,2020-08-27,DE,quantil,0.025,1.1
376,2020-09-26,4 day R,2020-08-28,DE,quantil,0.025,0.98
377,2020-09-26,4 day R,2020-08-29,DE,quantil,0.025,0.88
378,2020-09-26,4 day R,2020-08-30,DE,quantil,0.025,0.83
379,2020-09-26,4 day R,2020-08-31,DE,quantil,0.025,0.84
380,2020-09-26,4 day R,2020-09-01,DE,quantil,0.025,0.95
381,2020-09-26,4 day R,2020-09-02,DE,quantil,0.025,1.11
382,2020-09-26,4 day R,2020-09-03,DE,quantil,0.025,1.2
383,2020-09-26,4 day R,2020-09-04,DE,quantil,0.025,1.15
384,2020-09-26,4 day R,2020-09-05,DE,quantil,0.025,1.01
385,2020-09-26,4 day R,2020-09-06,DE,quantil,0.025,0.94
386,2020-09-26,4 day R,2020-09-07,DE,quantil,0.025,0.97
387,2020-09-26,4 day R,2020-09-08,DE,quantil,0.025,1.04
388,2020-09-26,4 day R,2020-09-09,DE,quantil,0.025,1.19
389,2020-09-26,4 day R,2020-09-10,DE,quantil,0.025,1.25
390,2020-09-26,4 day R,2020-09-11,DE,quantil,0.025,1.18
391,2020-09-26,4 day R,2020-09-12,DE,quantil,0.025,1.1
392,2020-09-26,4 day R,2020-09-13,DE,quantil,0.025,1.0
393,2020-09-26,4 day R,2020-09-14,DE,quantil,0.025,1.01
394,2020-09-26,4 day R,2020-09-15,DE,quantil,0.025,1.05
395,2020-09-26,4 day R,2020-09-16,DE,quantil,0.025,1.12
396,2020-09-26,4 day R,2020-09-17,DE,quantil,0.025,1.14
397,2020-09-26,4 day R,2020-09-18,DE,quantil,0.025,0.97
398,2020-09-26,4 day R,2020-09-19,DE,quantil,0.025,0.84
399,2020-09-26,4 day R,2020-09-20,DE,quantil,0.025,0.76
400,2020-09-26,4 day R,2020-09-21,DE,quantil,0.025,0.78
401,2020-09-26,4 day R,2020-09-22,DE,quantil,0.025,0.84
402,2020-09-26,4 day R,2020-03-06,DE,quantil,0.975,2.35
403,2020-09-26,4 day R,2020-03-07,DE,quantil,0.975,2.68
404,2020-09-26,4 day R,2020-03-08,DE,quantil,0.975,2.83
405,2020-09-26,4 day R,2020-03-09,DE,quantil,0.975,3.31
406,2020-09-26,4 day R,2020-03-10,DE,quantil,0.975,3.47
407,2020-09-26,4 day R,2020-03-11,DE,quantil,0.975,3.47
408,2020-09-26,4 day R,2020-03-12,DE,quantil,0.975,3.25
409,2020-09-26,4 day R,2020-03-13,DE,quantil,0.975,2.73
410,2020-09-26,4 day R,2020-03-14,DE,quantil,0.975,2.29
411,2020-09-26,4 day R,2020-03-15,DE,quantil,0.975,1.89
412,2020-09-26,4 day R,2020-03-16,DE,quantil,0.975,1.72
413,2020-09-26,4 day R,2020-03-17,DE,quantil,0.975,1.49
