data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,24.05.2020,NA,point,"0,81"
2021-03-14,7 day R,DE,25.05.2020,NA,point,"0,87"
2021-03-14,7 day R,DE,26.05.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,27.05.2020,NA,point,"0,91"
2021-03-14,7 day R,DE,28.05.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,29.05.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,30.05.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,31.05.2020,NA,point,"0,87"
2021-03-14,7 day R,DE,01.06.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,02.06.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,03.06.2020,NA,point,"0,91"
2021-03-14,7 day R,DE,04.06.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,05.06.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,06.06.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,07.06.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,08.06.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,09.06.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,10.06.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,11.06.2020,NA,point,"1,05"
2021-03-14,7 day R,DE,12.06.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,13.06.2020,NA,point,"1,11"
2021-03-14,7 day R,DE,14.06.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,15.06.2020,NA,point,"1,43"
2021-03-14,7 day R,DE,16.06.2020,NA,point,"1,48"
2021-03-14,7 day R,DE,17.06.2020,NA,point,"1,47"
2021-03-14,7 day R,DE,18.06.2020,NA,point,"1,42"
2021-03-14,7 day R,DE,19.06.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,20.06.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,21.06.2020,NA,point,"1,04"
2021-03-14,7 day R,DE,22.06.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,23.06.2020,NA,point,"0,76"
2021-03-14,7 day R,DE,24.06.2020,NA,point,"0,73"
2021-03-14,7 day R,DE,25.06.2020,NA,point,"0,73"
2021-03-14,7 day R,DE,26.06.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,27.06.2020,NA,point,"0,87"
2021-03-14,7 day R,DE,28.06.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,29.06.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,30.06.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,01.07.2020,NA,point,"0,94"
2021-03-14,7 day R,DE,02.07.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,03.07.2020,NA,point,"0,90"
2021-03-14,7 day R,DE,04.07.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,05.07.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,06.07.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,07.07.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,08.07.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,09.07.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,10.07.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,11.07.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,12.07.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,13.07.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,14.07.2020,NA,point,"1,23"
2021-03-14,7 day R,DE,15.07.2020,NA,point,"1,23"
2021-03-14,7 day R,DE,16.07.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,17.07.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,18.07.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,19.07.2020,NA,point,"1,16"
2021-03-14,7 day R,DE,20.07.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,21.07.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,22.07.2020,NA,point,"1,20"
2021-03-14,7 day R,DE,23.07.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,24.07.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,25.07.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,26.07.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,27.07.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,28.07.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,29.07.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,30.07.2020,NA,point,"1,05"
2021-03-14,7 day R,DE,31.07.2020,NA,point,"1,08"
2021-03-14,7 day R,DE,01.08.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,02.08.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,03.08.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,04.08.2020,NA,point,"1,19"
2021-03-14,7 day R,DE,05.08.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,06.08.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,07.08.2020,NA,point,"1,16"
2021-03-14,7 day R,DE,08.08.2020,NA,point,"1,13"
2021-03-14,7 day R,DE,09.08.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,10.08.2020,NA,point,"1,14"
2021-03-14,7 day R,DE,11.08.2020,NA,point,"1,16"
2021-03-14,7 day R,DE,12.08.2020,NA,point,"1,18"
2021-03-14,7 day R,DE,13.08.2020,NA,point,"1,17"
2021-03-14,7 day R,DE,14.08.2020,NA,point,"1,15"
2021-03-14,7 day R,DE,15.08.2020,NA,point,"1,12"
2021-03-14,7 day R,DE,16.08.2020,NA,point,"1,07"
2021-03-14,7 day R,DE,17.08.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,18.08.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,19.08.2020,NA,point,"0,99"
2021-03-14,7 day R,DE,20.08.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,21.08.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,22.08.2020,NA,point,"0,95"
2021-03-14,7 day R,DE,23.08.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,24.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,25.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,26.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,27.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,28.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,29.08.2020,NA,point,"0,97"
2021-03-14,7 day R,DE,30.08.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,31.08.2020,NA,point,"0,98"
2021-03-14,7 day R,DE,01.09.2020,NA,point,"1,01"
2021-03-14,7 day R,DE,02.09.2020,NA,point,"1,03"
2021-03-14,7 day R,DE,03.09.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,04.09.2020,NA,point,"1,06"
2021-03-14,7 day R,DE,05.09.2020,NA,point,"1,08"
2021-03-14,7 day R,DE,06.09.2020,NA,point,"1,10"
2021-03-14,7 day R,DE,07.09.2020,NA,point,"1,09"
2021-03-14,7 day R,DE,08.09.2020,NA,point,"1,10"
2021-03-14,7 day R,DE,09.09.2020,NA,point,"1,11"
