data_version,target,location,date,quantile,type,value
2020-06-20,7 day R,DE,2020-04-30,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-05-01,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-05-02,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-05-03,0.025,quantile,0.84
2020-06-20,7 day R,DE,2020-05-04,0.025,quantile,0.87
2020-06-20,7 day R,DE,2020-05-05,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-05-06,0.025,quantile,0.88
2020-06-20,7 day R,DE,2020-05-07,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-05-08,0.025,quantile,0.88
2020-06-20,7 day R,DE,2020-05-09,0.025,quantile,0.86
2020-06-20,7 day R,DE,2020-05-10,0.025,quantile,0.86
2020-06-20,7 day R,DE,2020-05-11,0.025,quantile,0.84
2020-06-20,7 day R,DE,2020-05-12,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-05-13,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-05-14,0.025,quantile,0.87
2020-06-20,7 day R,DE,2020-05-15,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-05-16,0.025,quantile,0.91
2020-06-20,7 day R,DE,2020-05-17,0.025,quantile,0.93
2020-06-20,7 day R,DE,2020-05-18,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-05-19,0.025,quantile,0.91
2020-06-20,7 day R,DE,2020-05-20,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-05-21,0.025,quantile,0.84
2020-06-20,7 day R,DE,2020-05-22,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-05-23,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-05-24,0.025,quantile,0.79
2020-06-20,7 day R,DE,2020-05-25,0.025,quantile,0.85
2020-06-20,7 day R,DE,2020-05-26,0.025,quantile,0.86
2020-06-20,7 day R,DE,2020-05-27,0.025,quantile,0.88
2020-06-20,7 day R,DE,2020-05-28,0.025,quantile,0.92
2020-06-20,7 day R,DE,2020-05-29,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-05-30,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-05-31,0.025,quantile,0.86
2020-06-20,7 day R,DE,2020-06-01,0.025,quantile,0.87
2020-06-20,7 day R,DE,2020-06-02,0.025,quantile,0.87
2020-06-20,7 day R,DE,2020-06-03,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-06-04,0.025,quantile,0.93
2020-06-20,7 day R,DE,2020-06-05,0.025,quantile,0.93
2020-06-20,7 day R,DE,2020-06-06,0.025,quantile,0.95
2020-06-20,7 day R,DE,2020-06-07,0.025,quantile,0.98
2020-06-20,7 day R,DE,2020-06-08,0.025,quantile,0.98
2020-06-20,7 day R,DE,2020-06-09,0.025,quantile,0.97
2020-06-20,7 day R,DE,2020-06-10,0.025,quantile,0.97
2020-06-20,7 day R,DE,2020-06-11,0.025,quantile,0.95
2020-06-20,7 day R,DE,2020-06-12,0.025,quantile,0.97
2020-06-20,7 day R,DE,2020-06-13,0.025,quantile,1.0
2020-06-20,7 day R,DE,2020-06-14,0.025,quantile,1.07
2020-06-20,7 day R,DE,2020-06-15,0.025,quantile,1.25
2020-06-20,7 day R,DE,2020-03-06,0.975,quantile,2.4
2020-06-20,7 day R,DE,2020-03-07,0.975,quantile,2.62
2020-06-20,7 day R,DE,2020-03-08,0.975,quantile,2.98
2020-06-20,7 day R,DE,2020-03-09,0.975,quantile,3.17
2020-06-20,7 day R,DE,2020-03-10,0.975,quantile,3.24
2020-06-20,7 day R,DE,2020-03-11,0.975,quantile,3.13
2020-06-20,7 day R,DE,2020-03-12,0.975,quantile,2.87
2020-06-20,7 day R,DE,2020-03-13,0.975,quantile,2.52
2020-06-20,7 day R,DE,2020-03-14,0.975,quantile,2.2
2020-06-20,7 day R,DE,2020-03-15,0.975,quantile,2.01
2020-06-20,7 day R,DE,2020-03-16,0.975,quantile,1.76
2020-06-20,7 day R,DE,2020-03-17,0.975,quantile,1.57
2020-06-20,7 day R,DE,2020-03-18,0.975,quantile,1.4
2020-06-20,7 day R,DE,2020-03-19,0.975,quantile,1.24
2020-06-20,7 day R,DE,2020-03-20,0.975,quantile,1.14
2020-06-20,7 day R,DE,2020-03-21,0.975,quantile,1.04
2020-06-20,7 day R,DE,2020-03-22,0.975,quantile,0.98
2020-06-20,7 day R,DE,2020-03-23,0.975,quantile,0.92
2020-06-20,7 day R,DE,2020-03-24,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-03-25,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-03-26,0.975,quantile,0.89
2020-06-20,7 day R,DE,2020-03-27,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-03-28,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-03-29,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-03-30,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-03-31,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-04-01,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-04-02,0.975,quantile,0.95
2020-06-20,7 day R,DE,2020-04-03,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-04-04,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-04-05,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-04-06,0.975,quantile,0.89
2020-06-20,7 day R,DE,2020-04-07,0.975,quantile,0.88
2020-06-20,7 day R,DE,2020-04-08,0.975,quantile,0.86
2020-06-20,7 day R,DE,2020-04-09,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-04-10,0.975,quantile,0.81
2020-06-20,7 day R,DE,2020-04-11,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-04-12,0.975,quantile,0.79
2020-06-20,7 day R,DE,2020-04-13,0.975,quantile,0.79
2020-06-20,7 day R,DE,2020-04-14,0.975,quantile,0.78
2020-06-20,7 day R,DE,2020-04-15,0.975,quantile,0.77
2020-06-20,7 day R,DE,2020-04-16,0.975,quantile,0.79
2020-06-20,7 day R,DE,2020-04-17,0.975,quantile,0.81
2020-06-20,7 day R,DE,2020-04-18,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-04-19,0.975,quantile,0.85
2020-06-20,7 day R,DE,2020-04-20,0.975,quantile,0.85
2020-06-20,7 day R,DE,2020-04-21,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-04-22,0.975,quantile,0.84
2020-06-20,7 day R,DE,2020-04-23,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-04-24,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-04-25,0.975,quantile,0.84
2020-06-20,7 day R,DE,2020-04-26,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-04-27,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-04-28,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-04-29,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-04-30,0.975,quantile,0.82
2020-06-20,7 day R,DE,2020-05-01,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-05-02,0.975,quantile,0.86
2020-06-20,7 day R,DE,2020-05-03,0.975,quantile,0.87
2020-06-20,7 day R,DE,2020-05-04,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-05-05,0.975,quantile,0.92
2020-06-20,7 day R,DE,2020-05-06,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-05-07,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-05-08,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-05-09,0.975,quantile,0.89
2020-06-20,7 day R,DE,2020-05-10,0.975,quantile,0.89
2020-06-20,7 day R,DE,2020-05-11,0.975,quantile,0.87
2020-06-20,7 day R,DE,2020-05-12,0.975,quantile,0.86
2020-06-20,7 day R,DE,2020-05-13,0.975,quantile,0.86
2020-06-20,7 day R,DE,2020-05-14,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-05-15,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-05-16,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-05-17,0.975,quantile,0.97
2020-06-20,7 day R,DE,2020-05-18,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-05-19,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-05-20,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-05-21,0.975,quantile,0.87
2020-06-20,7 day R,DE,2020-05-22,0.975,quantile,0.86
2020-06-20,7 day R,DE,2020-05-23,0.975,quantile,0.84
2020-06-20,7 day R,DE,2020-05-24,0.975,quantile,0.83
2020-06-20,7 day R,DE,2020-05-25,0.975,quantile,0.89
2020-06-20,7 day R,DE,2020-05-26,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-05-27,0.975,quantile,0.93
2020-06-20,7 day R,DE,2020-05-28,0.975,quantile,0.96
2020-06-20,7 day R,DE,2020-05-29,0.975,quantile,0.95
2020-06-20,7 day R,DE,2020-05-30,0.975,quantile,0.94
2020-06-20,7 day R,DE,2020-05-31,0.975,quantile,0.9
2020-06-20,7 day R,DE,2020-06-01,0.975,quantile,0.91
2020-06-20,7 day R,DE,2020-06-02,0.975,quantile,0.92
2020-06-20,7 day R,DE,2020-06-03,0.975,quantile,0.95
2020-06-20,7 day R,DE,2020-06-04,0.975,quantile,0.98
2020-06-20,7 day R,DE,2020-06-05,0.975,quantile,0.99
2020-06-20,7 day R,DE,2020-06-06,0.975,quantile,1.0
2020-06-20,7 day R,DE,2020-06-07,0.975,quantile,1.04
2020-06-20,7 day R,DE,2020-06-08,0.975,quantile,1.07
2020-06-20,7 day R,DE,2020-06-09,0.975,quantile,1.08
2020-06-20,7 day R,DE,2020-06-10,0.975,quantile,1.09
2020-06-20,7 day R,DE,2020-06-11,0.975,quantile,1.08
2020-06-20,7 day R,DE,2020-06-12,0.975,quantile,1.09
2020-06-20,7 day R,DE,2020-06-13,0.975,quantile,1.17
2020-06-20,7 day R,DE,2020-06-14,0.975,quantile,1.36
2020-06-20,7 day R,DE,2020-06-15,0.975,quantile,1.83
