country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-11-11,,estimate,0.96223075777458,0.962648629210845,0.027942116186612,0.917608722818618,0.944464500907997,0.955603905370763,0.968868946670049,0.980279907051171,1.00843105684568
Germany,2020-11-12,,estimate,0.964443144822657,0.964672762200169,0.0281566566345182,0.919688016806249,0.946434060601815,0.957797402165555,0.971407510253427,0.982722062665901,1.00975615646443
Germany,2020-11-13,,estimate,0.967095462375028,0.966904631718574,0.0284574207486178,0.920685391221164,0.948561378132737,0.960162518424386,0.973897005061268,0.985359047194094,1.01210640169921
Germany,2020-11-14,,estimate,0.970201593386382,0.969405319725692,0.028740954887429,0.922426805392409,0.950926454386886,0.963333031695945,0.977109033539164,0.988034165947347,1.01426470625123
Germany,2020-11-15,,estimate,0.973673850921255,0.972246570938316,0.0289309779990019,0.923284042735086,0.953740279380627,0.965843046023048,0.980447257954475,0.991502814239371,1.01607781062301
Germany,2020-11-16,,estimate,0.977384731189278,0.975508714466646,0.0290074379357253,0.926127961807522,0.957242427452845,0.969547520895767,0.984474639036433,0.99496023198282,1.0185069036658
Germany,2020-11-17,,estimate,0.981500103583837,0.979276605422251,0.0290179811603893,0.929096320681755,0.960960146681557,0.973603139981516,0.988420388371105,0.999457827562963,1.02144096777108
Germany,2020-11-18,,estimate,0.985793084554393,0.983633255490857,0.0290563643192799,0.93288608883854,0.964993829946184,0.978340277394488,0.993026232150345,1.00419591783631,1.0253799376378
Germany,2020-11-19,,estimate,0.991406289818532,0.988651568213606,0.0292101769915673,0.937039352530368,0.970090660580065,0.983966930823109,0.998340463884389,1.00930236405695,1.03088659571714
Germany,2020-11-20,,estimate,0.997944147805464,0.994385296747179,0.0295036545613647,0.940478416923515,0.975870508591486,0.990273909428804,1.0047174852936,1.01499575076093,1.03727423462167
Germany,2020-11-21,,estimate,1.00491829768446,1.00086059405798,0.0298726113453849,0.945931731842381,0.982994419555714,0.996814012707997,1.01072826484084,1.02143635335192,1.04456060592121
Germany,2020-11-22,,estimate,1.01194483026309,1.0080691777242,0.0301901364168744,0.952113515960368,0.990675923600522,1.00464357754606,1.01813912631179,1.02833331546779,1.05272747336158
Germany,2020-11-23,,estimate,1.01926703525856,1.01596340253605,0.0303271124935414,0.96041598240171,0.999027067585166,1.01204351108179,1.02581495861291,1.03595013319772,1.06047868562555
Germany,2020-11-24,,estimate,1.02713977609829,1.0244528726997,0.0302144685281629,0.969269881199505,1.00809375255162,1.0206466498265,1.03345447888316,1.04406251885872,1.06822255095384
Germany,2020-11-25,,estimate,1.03552354077642,1.03340202221425,0.0298826468145718,0.981294358101041,1.01674049964527,1.02868403937712,1.04192675147938,1.05225237055532,1.07825987123677
Germany,2020-11-26,,estimate,1.043731116394,1.04262844166033,0.0294690937326469,0.993399887588997,1.02562396364152,1.03722730753832,1.05033192291782,1.06093801846907,1.08876287658689
Germany,2020-11-27,,estimate,1.051833484686,1.05190239201338,0.0291924328212484,1.00566689798022,1.03364124588307,1.04546188477756,1.05893762782381,1.07026435712106,1.09955224147502
Germany,2020-11-28,,estimate,1.06008932471921,1.06094851359087,0.0292949052520296,1.01584848274544,1.04184159785194,1.0531743612621,1.06731534919682,1.07922998494986,1.1099928207897
Germany,2020-11-29,,estimate,1.06815832721138,1.06945088768228,0.0299643730514789,1.02463580644809,1.04907518232411,1.06096635568676,1.07560110950267,1.08861563981575,1.11953527987082
Germany,2020-11-30,,estimate,1.07527799920345,1.07706227322106,0.0312663264092093,1.02938140695155,1.05537609168364,1.06813332367871,1.08308739811188,1.09690159275686,1.1296524885402
Germany,2020-12-01,,estimate,1.08169799379432,1.0834177113905,0.0331208511130373,1.03305543197854,1.06001786918358,1.07324958552054,1.08998660874644,1.10426474492442,1.14100231738814
Germany,2020-12-02,,estimate,1.08555919351704,1.08815206810208,0.0353290838312696,1.03441387868306,1.06272870952976,1.07647377618224,1.09494232420334,1.11114076123244,1.14884952951997
Germany,2020-12-03,,estimate,1.08792829341989,1.09092068610195,0.0376202357069561,1.03406860507466,1.0637372055085,1.07795952736314,1.09777197402817,1.11538958896564,1.15731824727473
Germany,2020-12-04,,estimate,1.08759929302351,1.09142215317722,0.0396921889308066,1.03302491160334,1.0619987392456,1.0770241563553,1.09845055054895,1.1171143378312,1.16176047695208
Germany,2020-12-05,,estimate,1.08459143912067,1.08942207285783,0.0412409755200116,1.02997197711729,1.05851990282404,1.07444790998931,1.09594113857719,1.11572456466145,1.16506870672707
Germany,2020-12-06,,estimate,1.07879472359195,1.0847764189605,0.0419875743483133,1.02632809752466,1.05289020655487,1.06850159953164,1.09068540737273,1.11049617488007,1.16248094518599
Germany,2020-12-07,,estimate,1.07065626775712,1.07745248736432,0.0417106231905001,1.02171596631869,1.04618023392159,1.06091472390947,1.08229004782937,1.10226221632768,1.15680954605271
Germany,2020-12-08,,estimate,1.06050756347594,1.06754480655624,0.0402899919228669,1.01507265910222,1.03793671125132,1.05105320169459,1.07078509894221,1.09004948219721,1.14557996738108
Germany,2020-12-09,,estimate,1.04817758483589,1.05528301586563,0.0377642806083196,1.00663529213166,1.02905439178301,1.03982724701594,1.05790664935616,1.07503778997266,1.12681761567358
Germany,2020-12-10,,estimate,1.03515337940216,1.04102907386586,0.0344057777591209,0.996243851398157,1.01839209519358,1.0282270564091,1.0427493006858,1.05870932324682,1.10402556555198
Germany,2020-12-11,,estimate,1.02158929265336,1.02526242548767,0.0308125683382737,0.982340692979983,1.00640811850717,1.01560239204096,1.02793630398633,1.04070574750049,1.08027045726142
Germany,2020-12-12,,estimate,1.0074624711239,1.00855376734531,0.0279691826948458,0.965919599210707,0.991759334561919,1.00191980146825,1.01315029563476,1.02349043700408,1.05481662566478
Germany,2020-12-13,,estimate,0.992485024993766,0.991530244910063,0.0270457055940083,0.946952945573693,0.975141157368931,0.985877687791167,0.998524146006632,1.00848703321575,1.03348244644494
Germany,2020-12-14,,estimate,0.976544890846398,0.974836540185057,0.0286664076572142,0.924758100299605,0.957172857957981,0.969465558439052,0.983703812442654,0.995151270810701,1.01760861685273
Germany,2020-12-15,,estimate,0.961126176124586,0.959096786958419,0.0323403260024084,0.901411605545851,0.939041175261606,0.953088096454714,0.968864983693802,0.983059692259895,1.00779463042114
Germany,2020-12-16,,estimate,0.947133971678457,0.944881481274943,0.0369563263566282,0.878623841641626,0.920729435225633,0.937587728150158,0.957019072570716,0.972130597594777,1.00057662661131
Germany,2020-12-17,,estimate,0.936584082920764,0.932681925141345,0.0414867022911472,0.859145319319721,0.90564206408364,0.924390730495241,0.946983029448809,0.963598518272231,0.994001163579945
Germany,2020-12-18,,estimate,0.927440366316395,0.922892857957812,0.0451955050145553,0.841178483779371,0.893588689213844,0.914678748106237,0.938752750595986,0.956817620900115,0.988675735565276
Germany,2020-12-19,,estimate,0.921085645149841,0.915802304613282,0.0475982275299112,0.828727606168228,0.88504041460366,0.907724802863054,0.932529812711638,0.951709517840077,0.984388229064638
Germany,2020-12-20,,estimate,0.917164972236072,0.911586586823651,0.0483999772414598,0.822754679536605,0.880329934943702,0.90416979969112,0.929592911745783,0.94777099764844,0.979984584576362
Germany,2020-12-21,,estimate,0.916395147602423,0.910308017365478,0.0474628923727685,0.822231494438065,0.880526746677557,0.903553270613838,0.92841394896781,0.946074320331055,0.976473064300339
Germany,2020-12-22,,estimate,0.918524631059534,0.911913057755732,0.0448048304636084,0.827652705669255,0.884341155791963,0.905907733002338,0.929467822629707,0.945955128609426,0.973427738493218
Germany,2020-12-23,,estimate,0.922292847595174,0.916229647973006,0.0406324851810119,0.840704373749245,0.891259630332012,0.911368713554277,0.931586749179792,0.946365735660186,0.971778903239063
Germany,2020-12-24,,estimate,0.927943990914589,0.922963902752433,0.0354270088196164,0.856827752954209,0.902050352992445,0.918567202202842,0.936126110562988,0.948673361829538,0.971411329596144
Germany,2020-12-25,,estimate,0.935527470511653,0.931698163570027,0.0301190079946965,0.875862267231408,0.914129966796572,0.927982804576821,0.942287516991522,0.952613598674421,0.973738529995176
Germany,2020-12-26,,estimate,0.943839528394948,0.94189407334591,0.0263121456494009,0.89553345838963,0.926789057767134,0.938078147797692,0.94945726150777,0.958295302451122,0.980717372314718
Germany,2020-12-27,,estimate,0.952106949410036,0.952905311918515,0.0259177781167266,0.912344722127846,0.936902848656592,0.946338978444128,0.957624440175348,0.968055528717295,0.996242998563796
Germany,2020-12-28,,estimate,0.959928539523896,0.964004254021667,0.0293756612305225,0.923224878089828,0.944590635668114,0.95346280924066,0.966421317524788,0.98012398788034,1.01767257480569
Germany,2020-12-29,,estimate,0.967610059482986,0.974424657476124,0.0350648214303639,0.929493891401277,0.94986015553216,0.959706156477667,0.976199611753015,0.993725459050932,1.04078634280945
Germany,2020-12-30,,estimate,0.974758468809391,0.983418683077737,0.04106419335957,0.932469334392378,0.953513426346096,0.965616219705959,0.985565183430331,1.00532400312496,1.06106420251191
Germany,2020-12-31,,estimate,0.980955082700958,0.990321995692521,0.0460505921416819,0.932912319468267,0.956185017393616,0.970826608178769,0.993405322680039,1.01554507967221,1.07801572487177
Germany,2021-01-01,,estimate,0.984646693231019,0.99461694022881,0.0492520995679412,0.931918516324319,0.957866263667482,0.974054879713137,0.998419906159557,1.02201870144612,1.08864173471982
Germany,2021-01-02,,estimate,0.987177692377078,0.995982414392514,0.0503199088658883,0.930559717590173,0.958519851902092,0.976285816170692,1.00077360421125,1.02530254510657,1.09119224559855
Germany,2021-01-03,,estimate,0.987051482347843,0.994320923051499,0.0492582462516194,0.928235956250638,0.958020279782303,0.975155585936536,0.999992368966527,1.02373826139085,1.08668099357364
