"data_version","target","location","date","type","quantile","value"
2020-05-08,"R_t","AT",2020-04-18,"point",NA,0.660527417329427
2020-05-08,"R_t","AT",2020-04-18,"quantile",0.025,0.633319380493931
2020-05-08,"R_t","AT",2020-04-18,"quantile",0.975,0.688572624529092
2020-05-08,"R_t","AT",2020-04-19,"point",NA,0.648807032231059
2020-05-08,"R_t","AT",2020-04-19,"quantile",0.025,0.620761825031394
2020-05-08,"R_t","AT",2020-04-19,"quantile",0.975,0.677689409794893
2020-05-08,"R_t","AT",2020-04-20,"point",NA,0.632482210129761
2020-05-08,"R_t","AT",2020-04-20,"quantile",0.025,0.603181247383843
2020-05-08,"R_t","AT",2020-04-20,"quantile",0.975,0.662201758057765
2020-05-08,"R_t","AT",2020-04-21,"point",NA,0.614483047300126
2020-05-08,"R_t","AT",2020-04-21,"quantile",0.025,0.584344914190038
2020-05-08,"R_t","AT",2020-04-21,"quantile",0.975,0.645039765592298
2020-05-08,"R_t","AT",2020-04-22,"point",NA,0.549183758894935
2020-05-08,"R_t","AT",2020-04-22,"quantile",0.025,0.519464210966932
2020-05-08,"R_t","AT",2020-04-22,"quantile",0.975,0.579321892005023
2020-05-08,"R_t","AT",2020-04-23,"point",NA,0.552113855169527
2020-05-08,"R_t","AT",2020-04-23,"quantile",0.025,0.520719966513185
2020-05-08,"R_t","AT",2020-04-23,"quantile",0.975,0.584344914190038
2020-05-08,"R_t","AT",2020-04-24,"point",NA,0.589786521557137
2020-05-08,"R_t","AT",2020-04-24,"quantile",0.025,0.555462536626203
2020-05-08,"R_t","AT",2020-04-24,"quantile",0.975,0.624947676852239
2020-05-08,"R_t","AT",2020-04-25,"point",NA,0.635830891586438
2020-05-08,"R_t","AT",2020-04-25,"quantile",0.025,0.598576810380912
2020-05-08,"R_t","AT",2020-04-25,"quantile",0.975,0.674759313520301
2020-05-08,"R_t","AT",2020-04-26,"point",NA,0.655504395144412
2020-05-08,"R_t","AT",2020-04-26,"quantile",0.025,0.615320217664295
2020-05-08,"R_t","AT",2020-04-26,"quantile",0.975,0.697362913352867
2020-05-08,"R_t","AT",2020-04-27,"point",NA,0.667224780242779
2020-05-08,"R_t","AT",2020-04-27,"quantile",0.025,0.624947676852239
2020-05-08,"R_t","AT",2020-04-27,"quantile",0.975,0.711176224361658
2020-05-08,"R_t","AT",2020-04-28,"point",NA,0.689828380075345
2020-05-08,"R_t","AT",2020-04-28,"quantile",0.025,0.644621180410213
2020-05-08,"R_t","AT",2020-04-28,"quantile",0.975,0.736291335286731
2020-05-08,"R_t","AT",2020-04-29,"point",NA,0.710339053997489
2020-05-08,"R_t","AT",2020-04-29,"quantile",0.025,0.662201758057765
2020-05-08,"R_t","AT",2020-04-29,"quantile",0.975,0.759732105483466
2020-05-08,"R_t","AT",2020-04-30,"point",NA,0.745918794474676
2020-05-08,"R_t","AT",2020-04-30,"quantile",0.025,0.69485140226036
2020-05-08,"R_t","AT",2020-04-30,"quantile",0.975,0.799079112599414
2020-05-08,"R_t","AT",2020-05-01,"point",NA,0.781498534951863
2020-05-08,"R_t","AT",2020-05-01,"quantile",0.025,0.727082461280871
2020-05-08,"R_t","AT",2020-05-01,"quantile",0.975,0.837588949351193
2020-05-08,"R_t","AT",2020-05-02,"point",NA,0.769778149853495
2020-05-08,"R_t","AT",2020-05-02,"quantile",0.025,0.714106320636249
2020-05-08,"R_t","AT",2020-05-02,"quantile",0.975,0.827542904981164
2020-05-08,"R_t","AT",2020-05-03,"point",NA,0.766848053578903
2020-05-08,"R_t","AT",2020-05-03,"quantile",0.025,0.709920468815404
2020-05-08,"R_t","AT",2020-05-03,"quantile",0.975,0.825868564252825
2020-05-08,"R_t","AT",2020-05-04,"point",NA,0.786102971954793
2020-05-08,"R_t","AT",2020-05-04,"quantile",0.025,0.726663876098786
2020-05-08,"R_t","AT",2020-05-04,"quantile",0.975,0.847634993721222
2020-05-08,"R_t","AT",2020-05-05,"point",NA,0.811218082879866
2020-05-08,"R_t","AT",2020-05-05,"quantile",0.025,0.749267475931352
2020-05-08,"R_t","AT",2020-05-05,"quantile",0.975,0.875680200920887
