date,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10,Iter_11,Iter_12,Iter_13,Iter_14,Iter_15,Iter_16,Iter_17,Iter_18,Iter_19,Iter_20,Iter_21,Iter_22,Iter_23,Iter_24,Iter_25,Iter_26,Iter_27,Iter_28,Iter_29,Iter_30,Iter_31,Iter_32,Iter_33,Iter_34,Iter_35,Iter_36,Iter_37,Iter_38,Iter_39,Iter_40,Iter_41,Iter_42,Iter_43,Iter_44,Iter_45,Iter_46,Iter_47,Iter_48,Iter_49,Iter_50,Iter_51,Iter_52,Iter_53,Iter_54,Iter_55,Iter_56,Iter_57,Iter_58,Iter_59,Iter_60,Iter_61,Iter_62,Iter_63,Iter_64,Iter_65,Iter_66,Iter_67,Iter_68,Iter_69,Iter_70,Iter_71,Iter_72,Iter_73,Iter_74,Iter_75,Iter_76,Iter_77,Iter_78,Iter_79,Iter_80,Iter_81,Iter_82,Iter_83,Iter_84,Iter_85,Iter_86,Iter_87,Iter_88,Iter_89,Iter_90,Iter_91,Iter_92,Iter_93,Iter_94,Iter_95,Iter_96,Iter_97,Iter_98,Iter_99,Iter_100
2020-05-19,0.658559,0.682004,0.676852,0.680306,0.675026,0.676557,0.672286,0.668595,0.681255,0.691457,0.656292,0.675296,0.666268,0.690452,0.690092,0.668964,0.688816,0.673494,0.663208,0.683595,0.691695,0.659689,0.685381,0.69098,0.668934,0.683344,0.673319,0.665005,0.659349,0.669826,0.689489,0.685468,0.687746,0.672087,0.688513,0.666363,0.689198,0.684714,0.691944,0.678319,0.677058,0.69106,0.687997,0.668687,0.692913,0.688134,0.687693,0.688286,0.692678,0.692091,0.689333,0.689826,0.677764,0.690547,0.688137,0.689444,0.685674,0.677985,0.65716,0.686281,0.666784,0.672737,0.681929,0.685795,0.691523,0.679148,0.689725,0.684269,0.678422,0.657067,0.680968,0.689191,0.672157,0.691213,0.682034,0.664465,0.669168,0.681602,0.6855,0.683547,0.691987,0.682149,0.691107,0.67844,0.688909,0.675148,0.688114,0.687304,0.685069,0.689737,0.676322,0.681649,0.680848,0.678338,0.673804,0.681111,0.692455,0.686994,0.68625,0.690951
2020-05-20,0.730574,0.754084,0.751457,0.753795,0.750485,0.751111,0.747064,0.743621,0.75692,0.765205,0.725399,0.749127,0.740954,0.765273,0.76349,0.738345,0.763006,0.74875100000000006,0.734459,0.75689,0.767312,0.733085,0.760744,0.766225,0.743882,0.757547,0.746826,0.737046,0.727344,0.74519,0.763849,0.758635,0.762497,0.747483,0.764191,0.739793,0.759825,0.758804,0.766536,0.747446,0.752443,0.766584,0.756602,0.743968,0.768582,0.758341,0.758705,0.758137,0.764517,0.76771,0.762779,0.765493,0.747686,0.765134,0.759554,0.765006,0.761242,0.749579,0.72513,0.757605,0.74092,0.748178,0.751242,0.761411,0.766807,0.753899,0.760425,0.75607,0.747359,0.728985,0.755743,0.759526,0.747521,0.766688,0.753874,0.739471,0.744403,0.752298,0.761085,0.758862,0.767702,0.756511,0.76085,0.753901,0.757023,0.74593,0.763564,0.758044,0.760626,0.764321,0.744858,0.757127,0.756328,0.753884,0.744278,0.756194,0.768137,0.761797,0.761839,0.759021
2020-05-21,0.747926,0.770498,0.768764,0.770656,0.768167,0.768449,0.764645,0.76143,0.774383,0.78168,0.742072,0.766324,0.758751,0.78209,0.779898,0.754587,0.779698,0.766422,0.751428,0.773584,0.784336,0.750778,0.77793,0.783139,0.761652,0.77447,0.763998,0.754158,0.743611,0.76307,0.780559,0.775179,0.779412,0.765273,0.781356,0.75723,0.775571,0.775643,0.783217,0.763264,0.77002,0.783576,0.771829,0.761836,0.785589,0.773995,0.774589,0.773685,0.780422,0.784704,0.779241,0.782618,0.76372,0.781885,0.775544,0.782118,0.778474,0.766027,0.74146,0.77361,0.758541,0.765951,0.766941,0.778657,0.783724,0.771176,0.776124,0.772336,0.763119,0.746377,0.772968,0.775139,0.76527,0.783672,0.770252,0.757428,0.76226,0.768353,0.778367,0.776099,0.784739,0.77356,0.776259,0.771443,0.772087,0.762281,0.780689,0.773868,0.777898,0.781095,0.760595,0.774538,0.773761,0.771449,0.760614,0.773457,0.78516,0.778722,0.779079,0.773989
2020-05-22,0.75893,0.780533,0.77937,0.780959,0.779057,0.779117,0.775515,0.772505,0.785019,0.79158,0.752782,0.776934,0.769834,0.792202,0.789774,0.764819,0.789754,0.777311,0.762137,0.78376,0.794567,0.761935,0.788333,0.793283,0.772691,0.784752,0.774619,0.764905,0.754082,0.774165,0.790616,0.785212,0.789624,0.776265,0.791701,0.768119,0.78515,0.785856,0.793227,0.773118,0.780818,0.793779,0.781143,0.772918,0.795787,0.783517,0.784245,0.783157,0.790001,0.794899,0.789167,0.792933,0.773674,0.791957,0.785269,0.792438,0.788899,0.776179,0.751987,0.783351,0.769541,0.776931,0.776642,0.789084,0.793883,0.781741,0.785643,0.782281,0.77294,0.757428,0.78349,0.784617,0.776223,0.793871,0.7803,0.768634,0.773357,0.778222,0.788844,0.786558,0.794965,0.78396,0.785602,0.782199,0.781311,0.772425,0.791034,0.783502,0.788377,0.791195,0.770438,0.78516,0.784405,0.782203,0.770811,0.783959,0.795375,0.788933,0.789517,0.78312
2020-05-23,0.72281,0.742941,0.741096,0.742904,0.740738,0.740977,0.737552,0.734714,0.746197,0.752795,0.71798,0.73915,0.732242,0.753072,0.751132,0.729126,0.750906,0.739096,0.726027,0.745623,0.755164,0.725218,0.749324,0.753965,0.734895,0.746238,0.737024,0.72838,0.719555,0.736208,0.751676,0.746937,0.750696,0.73815,0.752439,0.730971,0.747735,0.747295,0.754083,0.737027,0.742414,0.754382,0.744547,0.734976,0.756313,0.74627,0.746709,0.746044,0.75186,0.755434,0.750569,0.75364,0.737235,0.752915,0.747599,0.753205,0.749806,0.739022,0.71761,0.745732,0.73216,0.738755,0.740201,0.74997,0.754559,0.743327,0.748076,0.744702,0.736906,0.721433,0.745011,0.747219,0.73804,0.754502,0.742853,0.731037,0.735486,0.741183,0.749832,0.747655,0.755502,0.745541,0.748368,0.743673,0.744894,0.735749,0.751892,0.746083,0.749366,0.752189,0.734684,0.74642,0.745689,0.743632,0.734343,0.74526,0.755928,0.749958,0.750439,0.746588
2020-05-24,0.636063,0.654226,0.650722,0.653163,0.650081,0.650809,0.647551,0.644876,0.654809,0.662029,0.633865,0.649675,0.642745,0.661538,0.660663,0.643755,0.659927,0.648616,0.639505,0.655849,0.663045,0.637265,0.657776,0.662045,0.645068,0.655678,0.647881,0.641079,0.636201,0.646048,0.660521,0.657009,0.659437,0.647769,0.660476,0.642435,0.659751,0.656721,0.6626,0.651241,0.651662,0.662298,0.658262,0.644842,0.664081,0.658625,0.658429,0.658689,0.662544,0.663232,0.660139,0.661637,0.650731,0.661563,0.659029,0.661318,0.658087,0.651043,0.634421,0.65724,0.64312,0.648288,0.653895,0.658213,0.662637,0.652737,0.659861,0.656114,0.651251,0.63488,0.654335,0.659335,0.647569,0.662461,0.65444,0.641436,0.645484,0.653643,0.658235,0.656256,0.663274,0.655086,0.660911,0.652742,0.659009,0.648653,0.660156,0.658052,0.65776,0.660885,0.649519,0.655208,0.654492,0.652608,0.647651,0.654191,0.663737,0.658617,0.658742,0.660573
2020-05-25,0.579114,0.595951,0.592022,0.594594,0.59155,0.592339,0.589229,0.586793,0.595828,0.602973,0.577822,0.59149,0.584681,0.602287,0.601658,0.586904,0.60081,0.590104,0.582404,0.597263,0.603692,0.579897,0.598626,0.602659,0.586949,0.596791,0.589711,0.583696,0.580388,0.58783,0.601351,0.598249,0.600328,0.589413,0.60119,0.584629,0.601637,0.597805,0.603324,0.594139,0.593087,0.602899,0.600663,0.586517,0.604689,0.60057,0.60018,0.600729,0.60391,0.603805,0.60118,0.602365,0.593313,0.602367,0.600732,0.602098,0.598883,0.5931,0.578697,0.598913,0.585323,0.589863,0.596462,0.598998,0.603292,0.593998,0.601574,0.597904,0.594167,0.578005,0.595613,0.60115,0.589056,0.60309,0.596341,0.583392,0.587365,0.595738,0.599165,0.597152,0.603869,0.596356,0.60288,0.594064,0.60156,0.591033,0.60098,0.599876,0.59866,0.6017,0.592625,0.596355,0.595618,0.59385,0.590231,0.5952,0.604368,0.599426,0.599607,0.603037
2020-05-26,0.608851,0.625961,0.624119,0.625797,0.624804,0.624715,0.62169,0.619608,0.629228,0.634961,0.604933,0.623298,0.616786,0.635246,0.633152,0.614262,0.633016,0.622945,0.611283,0.628554,0.637616,0.610863,0.631865,0.636032,0.619631,0.628764,0.620853,0.61335,0.606685,0.62091,0.633754,0.629315,0.633118,0.622565,0.634941,0.615549,0.63072,0.629737,0.636117,0.62171,0.626403,0.63656,0.627785,0.619187,0.638753,0.629119,0.629436,0.628963,0.634177,0.637668,0.632713,0.636259,0.621387,0.635125,0.630466,0.635922,0.63233,0.622564,0.604881,0.628328,0.617295,0.623006,0.624107,0.632494,0.636808,0.626454,0.630606,0.627873,0.621497,0.607588,0.628344,0.629808,0.62188,0.636765,0.626327,0.615753,0.620414,0.624468,0.632821,0.630224,0.63786,0.628666,0.631159,0.627436,0.628319,0.61965,0.634592,0.628855,0.632177,0.634389,0.619519,0.629804,0.628955,0.627164,0.618612,0.627891,0.638415,0.63208,0.633238,0.629845
2020-05-27,0.706557,0.725242,0.726845,0.727114,0.729178,0.727761,0.724705,0.722981,0.734234,0.73797,0.697885,0.725274,0.718997,0.739889,0.735329,0.708283,0.73636,0.726697,0.707773,0.730051,0.743826,0.710779,0.736807,0.741402,0.722828,0.731517,0.721719,0.711266,0.698236,0.724786,0.737461,0.730602,0.737368,0.726605,0.740796,0.715742,0.728526,0.732431,0.740534,0.716348,0.730978,0.7424,0.722134,0.722476,0.745216,0.72602,0.727574,0.725321,0.734236,0.743848,0.734911,0.742355,0.716983,0.73941,0.729401,0.741867,0.737624,0.720693,0.696171,0.726748,0.719156,0.727142,0.719104,0.73788,0.742387,0.729822,0.728435,0.727079,0.71575,0.704971,0.732161,0.726954,0.72556,0.742607,0.725454,0.718323,0.724178,0.721477,0.738355,0.734832,0.744207,0.731842,0.72767,0.732185,0.722017,0.71621,0.740159,0.726503,0.737511,0.738547,0.712915,0.734844,0.733807,0.731857,0.714665,0.731803,0.744845,0.736159,0.738783,0.72369000000000006
2020-05-28,0.805402,0.825549,0.829692,0.82894,0.833081,0.830762,0.827639,0.82608,0.838688,0.84112,0.793107,0.827463,0.821296,0.844228,0.837899,0.804462,0.839767,0.830168,0.805794,0.832016,0.849242,0.811297,0.841306,0.846277,0.825824,0.834446,0.823118,0.810376,0.792396,0.828242,0.841134,0.832478,0.841393,0.83024,0.845942,0.81657,0.827743,0.835406,0.84473,0.813041,0.835048,0.847583,0.818758,0.825548,0.850819,0.824594,0.827082,0.823473,0.835195,0.84927,0.83748,0.847667,0.814442,0.84349,0.829493,0.847065,0.842372,0.820106,0.790117,0.826481,0.821169,0.830829,0.816128,0.842686,0.847395,0.83311,0.827739,0.827326,0.812155,0.803574,0.835772,0.825756,0.828976,0.847787,0.825612,0.820844,0.827552,0.820083,0.843218,0.839086,0.849718,0.835013,0.825959,0.836391,0.81812,0.814415,0.845099,0.825646,0.842255,0.842537,0.808654,0.839301,0.838141,0.836043,0.812455,0.835549,0.850406,0.840095,0.843679,0.819924
2020-05-29,0.870994,0.891793,0.896671,0.895651,0.900184,0.897713,0.894533,0.89293,0.906035,0.908238,0.857527,0.894159,0.88798,0.911682,0.904894,0.869294,0.906989,0.897223,0.871206,0.898742,0.916888,0.877401,0.908753,0.913874,0.892663,0.901502,0.889632,0.87613,0.856445,0.895147,0.908426,0.899244,0.908736,0.897242,0.913526,0.882867,0.893612,0.902464,0.912149,0.878012,0.90221,0.915244,0.883839,0.892453,0.918498,0.890308,0.893094,0.88905,0.90165,0.916954,0.904456,0.91526,0.879724,0.910857,0.895636,0.914637,0.909874,0.886046,0.854098,0.892594,0.887733,0.897855,0.88127,0.910202,0.914991,0.900198,0.893715,0.893509,0.87705,0.869083,0.902916,0.891588,0.896013,0.915423,0.89175,0.887559,0.894452,0.885788,0.910667,0.90648,0.917401,0.902063,0.891567,0.903605,0.882998,0.87997,0.91262,0.891539,0.909715,0.909887,0.87333,0.906605,0.905449,0.903266,0.87785,0.902815,0.918072,0.907471,0.911168,0.884858
2020-05-30,0.886952,0.907524,0.911414,0.910819,0.914299,0.912313,0.909091,0.907311,0.920049,0.922979,0.874753,0.909057,0.902728,0.925947,0.919909,0.886336,0.921656,0.911557,0.887554,0.913856,0.930646,0.892751,0.922892,0.927945,0.907116,0.91629,0.904847,0.892096,0.874043,0.909344,0.92299,0.914471,0.923103,0.911418,0.927369,0.898206,0.90973,0.917262,0.926506,0.894898,0.916298,0.929147,0.900912,0.906884,0.932164,0.90671,0.909157,0.905595,0.917203,0.930744,0.919448,0.929019,0.896375,0.925232,0.911458,0.928446,0.923894,0.902054,0.871754,0.908611,0.902571,0.912022,0.898107,0.924183,0.928969,0.914747,0.909898,0.90924,0.894038,0.885126,0.917332,0.907958,0.910354,0.929316,0.907492,0.902164,0.908672,0.902135,0.924561,0.92071,0.931109,0.916679,0.908069,0.917662,0.900216,0.896387,0.92655,0.907748,0.923685,0.924304,0.890536,0.920646,0.919517,0.917342,0.894383,0.917245,0.931744,0.921926,0.925078,0.90205
2020-05-31,0.812107,0.831422,0.832235,0.832928,0.83399,0.833097,0.829819,0.827833,0.839184,0.843948,0.804038,0.830812,0.823992,0.845537,0.841461,0.814673,0.842218,0.831643,0.813657,0.835958,0.849075,0.81599,0.842119,0.846925,0.827748,0.837226,0.827309,0.817003,0.804663,0.829431,0.843277,0.836665,0.842961,0.831344,0.845968,0.821152,0.835118,0.83825,0.846297,0.822961,0.83591,0.847779,0.829148,0.827253,0.850434,0.832755,0.834131,0.832122,0.840693,0.84916,0.840981,0.847505,0.823465,0.845126,0.835839,0.847081,0.842834,0.82688,0.802543,0.833265,0.824348,0.831881,0.825783,0.843061,0.84785,0.835179,0.83515,0.833344,0.822404,0.810516,0.837542,0.833764,0.830424,0.847977,0.831652,0.823098,0.828903,0.827955,0.843444,0.840134,0.849409,0.837405,0.83454,0.837117,0.829087,0.822507,0.84543,0.833126,0.842653,0.844261,0.819588,0.839892,0.838845,0.83676,0.820981,0.837154,0.850036,0.841808,0.843926,0.83083
2020-06-01,0.678568,0.696148,0.693198,0.695443,0.6938,0.694155,0.690852,0.688702,0.698217,0.705158,0.675573,0.69309,0.68561,0.705064,0.703306,0.684933,0.70288,0.691851,0.681156,0.698548,0.707316,0.680102,0.701203,0.705711,0.688719,0.698319,0.690339,0.683053,0.677876,0.689777,0.70361,0.699274,0.702836,0.69147,0.704363,0.684804,0.701757,0.699412,0.706077,0.692987,0.695648,0.706181,0.699241,0.687802,0.708502,0.700123,0.700192,0.700081,0.70498,0.707333,0.702824,0.70584,0.692178,0.705032,0.70123,0.705589,0.701597,0.692751,0.67595,0.698875,0.686723,0.691902,0.695219,0.701744,0.706579,0.695739,0.701529,0.698389,0.692753,0.677247,0.697903,0.7008,0.690596,0.706439,0.696798,0.684345,0.689447,0.695038,0.702236,0.699444,0.70748200000000006,0.698374,0.702461,0.696645,0.69998,0.689947,0.704192,0.699661,0.701499,0.704231,0.690752,0.699134,0.698142,0.696195,0.689036,0.697013,0.708141,0.701617,0.702643,0.701614
2020-06-02,0.581571,0.597887,0.593027,0.596056,0.593107,0.594087,0.590823,0.588673,0.597006,0.604968,0.581211,0.593689,0.585968,0.604021,0.603451,0.589708,0.602409,0.591363,0.58459,0.599174,0.605581,0.581864,0.599992,0.604259,0.588726,0.598145,0.591317,0.585706,0.584356,0.589438,0.60297,0.59986,0.601993,0.590979,0.602736,0.586203,0.604425,0.599264,0.60513,0.597551,0.594904,0.60452,0.603686,0.587552,0.606674,0.603164,0.602553,0.603429,0.606376,0.60555,0.60297,0.60417,0.596044,0.604179,0.603254,0.60402,0.60018,0.595131,0.582555,0.601007,0.587508,0.59134,0.599415,0.600289,0.605094,0.595352,0.604033,0.600282,0.597467,0.580413,0.597419,0.603651,0.590098,0.604818,0.598775,0.584531,0.58924,0.59799,0.600867,0.598338,0.605648,0.598159,0.605761,0.595762,0.60484,0.593172,0.602775,0.602279,0.600146,0.603412,0.59595,0.598059,0.597095,0.595248,0.592623,0.596219,0.606329,0.600723,0.601217,0.606403
