country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2021-02-17,,estimate,1.06725777451991,1.06848837021389,0.0411463451539135,1.00422510617613,1.04026270567172,1.05637403249387,1.07687016366294,1.09540570767504,1.13779578477138
Germany,2021-02-18,,estimate,1.06596762815356,1.06724045297911,0.0396848411544735,1.00507435162352,1.0401968723067,1.0559124490686,1.07600834139985,1.09313329572613,1.1349647206296
Germany,2021-02-19,,estimate,1.06174724698485,1.06300779417619,0.0383824736147334,1.00184957492235,1.03710770274647,1.05245221749071,1.07165092236244,1.08854509449848,1.12797262370171
Germany,2021-02-20,,estimate,1.05664007804226,1.0568054515721,0.0375961283026102,0.995119133156314,1.03191251823028,1.04692069465653,1.06519684980025,1.08056449651467,1.12042339515478
Germany,2021-02-21,,estimate,1.05003838739059,1.04970119887238,0.0374233930510993,0.987778560284062,1.02606688620512,1.04081345504483,1.0587891131503,1.07381859760116,1.11152293240266
Germany,2021-02-22,,estimate,1.04324409775173,1.04272492184945,0.0377126178600555,0.979293016780071,1.01888712513375,1.03462235977238,1.05213464188827,1.06787511308927,1.10384717481088
Germany,2021-02-23,,estimate,1.03800530962608,1.03679759235589,0.0382010406439751,0.971459280382822,1.01304556175809,1.02873219505,1.04715343535293,1.0629405473306,1.09720710203642
Germany,2021-02-24,,estimate,1.03436644571885,1.0326818157958,0.0386585852479499,0.966247272851225,1.00861743112247,1.02464511207404,1.04362055512593,1.05935403456838,1.09303305565967
Germany,2021-02-25,,estimate,1.03235245758224,1.03095198081383,0.0389565384304574,0.964329681247265,1.00640141031197,1.02289396301755,1.04234880222391,1.05732607421809,1.09189710558373
Germany,2021-02-26,,estimate,1.0328721796467,1.03198058834103,0.0390647021678491,0.965904793497953,1.00718581218309,1.0235193808116,1.04259093007035,1.05835641255128,1.0942256160263
Germany,2021-02-27,,estimate,1.0358376273662,1.03593751550944,0.0390146213313551,0.971382199131663,1.01118245359315,1.02632732395072,1.04621346892909,1.06235375812441,1.09889040899166
Germany,2021-02-28,,estimate,1.04284595447741,1.04279970001511,0.038860688657292,0.97865183232535,1.0176581024404,1.0329219872115,1.05289419885557,1.0689016848079,1.10570992702134
Germany,2021-03-01,,estimate,1.05302248707114,1.05236927771542,0.0386560361130258,0.988196257918774,1.02675971628807,1.04242217190223,1.06241821931491,1.07870593475758,1.1153377971754
Germany,2021-03-02,,estimate,1.06445729487698,1.06429831516529,0.0384465615220273,1.00231911474016,1.03822190348717,1.05491469091932,1.07419159515844,1.08967562349526,1.12615236140397
Germany,2021-03-03,,estimate,1.0782906558837,1.07811806187379,0.0382762929647395,1.01727693053515,1.05277578978056,1.06819406634298,1.0876706278748,1.10396071087071,1.14162599072917
Germany,2021-03-04,,estimate,1.09332095862294,1.0932703740663,0.0381929055191111,1.03126006052847,1.06736191531077,1.08370260042734,1.10262633874595,1.11891900202962,1.15541666636291
Germany,2021-03-05,,estimate,1.10834996503198,1.10913885975097,0.0382447610766962,1.04767552291931,1.08342708692476,1.10030142820406,1.11818965226911,1.13457763253449,1.17272043462214
Germany,2021-03-06,,estimate,1.12463773431651,1.12507744914943,0.0384689676321416,1.06341132386931,1.09914857982846,1.11558417242348,1.13426825916762,1.14994095901691,1.18883789504648
Germany,2021-03-07,,estimate,1.13948152294654,1.14043449174472,0.0388787616064396,1.07842995957073,1.1149196904056,1.12991060085029,1.14897324081114,1.16539541863184,1.2053997553382
Germany,2021-03-08,,estimate,1.15308463948803,1.15457114419819,0.039459879831937,1.09158184126056,1.12936034597841,1.14393178803616,1.16333973513841,1.17901655585785,1.22006148448151
Germany,2021-03-09,,estimate,1.16581274555944,1.16687387633977,0.0401764307837936,1.10322770658159,1.14074922305577,1.15618782269647,1.17539155461971,1.19197568775247,1.23431480822508
Germany,2021-03-10,,estimate,1.17615640790173,1.17676249475318,0.0409767965711293,1.11090268646086,1.14968969847379,1.16546577313573,1.18622329377063,1.20278097840123,1.24653298098364
Germany,2021-03-11,,estimate,1.1833602941807,1.18369694913853,0.0417919336198718,1.11498189795526,1.15578062202656,1.17226598053605,1.19297298126183,1.21098331268577,1.25490630254433
Germany,2021-03-12,,estimate,1.1867562259568,1.18718763666491,0.0425307116693715,1.11700408675925,1.15884674260523,1.17644552938911,1.19740722229238,1.21463822128646,1.25865351757401
Germany,2021-03-13,,estimate,1.18646896205209,1.18681399760746,0.0430850450251257,1.11709363100733,1.15753650212563,1.17533768501788,1.19709662044674,1.21506677740392,1.25941666692575
Germany,2021-03-14,,estimate,1.18118739186309,1.18225428438783,0.0433514286055751,1.11277957957687,1.1523593480466,1.17067125060347,1.19278841849132,1.20976986261597,1.25506221022773
Germany,2021-03-15,,estimate,1.17167759888231,1.17332571768506,0.0432610256039042,1.10420335915295,1.14368861987296,1.16136476491539,1.18285283553361,1.20101859708633,1.24826867237894
Germany,2021-03-16,,estimate,1.15760890031705,1.16002993571666,0.042801620238274,1.09342451591873,1.13034217735342,1.14781583913991,1.1686094456309,1.18769393099802,1.23374029268295
Germany,2021-03-17,,estimate,1.14023576351089,1.14259521952726,0.0420189775567226,1.07797197377501,1.1133233719769,1.12929294340731,1.15068696053177,1.16944623316954,1.21578029734673
Germany,2021-03-18,,estimate,1.11879362460417,1.12150567341296,0.0409998939402248,1.06026547139277,1.09276521059695,1.10853965382002,1.12903718418737,1.14724487292861,1.19397522904439
Germany,2021-03-19,,estimate,1.09407135065988,1.09750879907912,0.0398554825045505,1.03810100836757,1.07005321818739,1.08491023210226,1.10455257433553,1.12141549252091,1.17032450571652
Germany,2021-03-20,,estimate,1.0688467626034,1.07159631805945,0.0387267328983858,1.01282957078952,1.04551965969823,1.0597270353274,1.07810912358847,1.09498154761129,1.13856617908414
Germany,2021-03-21,,estimate,1.04292097108539,1.04495776133766,0.0378125583901466,0.985375441335209,1.01930507839297,1.03370099978682,1.05268914397703,1.06772111558158,1.10897551938424
Germany,2021-03-22,,estimate,1.01783056079111,1.01891127066694,0.0373808482639434,0.960336205056081,0.994011402083184,1.00807247633994,1.02761723711617,1.04317138778683,1.0818135943059
Germany,2021-03-23,,estimate,0.99446925963808,0.994820305476542,0.0377041192573874,0.93456437617875,0.969198994311389,0.984469762551183,1.00453647999494,1.01989515702553,1.05634219952059
Germany,2021-03-24,,estimate,0.973872795760438,0.974007503048352,0.0389133697277884,0.910443840369412,0.946980886181738,0.96362485436769,0.98355629559963,1.0001891074721,1.03744754195731
Germany,2021-03-25,,estimate,0.957725247502794,0.957676760949637,0.0408690560776339,0.890717856785768,0.929767753738844,0.946750282012123,0.968143362635091,0.984797519737563,1.02585588758271
Germany,2021-03-26,,estimate,0.947263122825463,0.946851201811116,0.0431654564311743,0.876584234296457,0.91714700094237,0.935835834741376,0.958292585463431,0.975590625270751,1.01739299273938
Germany,2021-03-27,,estimate,0.943411919201109,0.942328748196395,0.0452576629616459,0.867214305808245,0.912584844046759,0.930616887096039,0.954714643137516,0.972587533478514,1.01670812996124
Germany,2021-03-28,,estimate,0.945770763641817,0.944650537401907,0.0466098776482922,0.864464616698826,0.914371842096834,0.93373567748041,0.957799680549661,0.976586375213864,1.02027365048572
Germany,2021-03-29,,estimate,0.956032037924219,0.954072766573743,0.0468065090491422,0.874166159745876,0.923857702374141,0.944004071599976,0.967286748825679,0.986756734860078,1.02811801502861
Germany,2021-03-30,,estimate,0.973602280645829,0.970531650657807,0.0456392468167468,0.891568281528871,0.940778974464468,0.961315801400734,0.984032293331948,1.002496172703,1.04068807425035
Germany,2021-03-31,,estimate,0.997164365431116,0.993594819339868,0.0432135128770174,0.917605687747504,0.965592059218964,0.985488993926376,1.0073241364536,1.02374663577901,1.05962699153076
Germany,2021-04-01,,estimate,1.0248999000194,1.02240053846456,0.0401117852336639,0.951210400285058,0.996753898572648,1.01491652312907,1.03535947093418,1.04995216750258,1.08317545080288
