country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Germany,2020-09-08,estimate,1.07,1.07,0.03,1.05,1.07,1.05,1.08,1.03,1.11
Germany,2020-09-09,estimate,1.07,1.07,0.03,1.06,1.07,1.05,1.09,1.03,1.12
Germany,2020-09-10,estimate,1.07,1.07,0.03,1.06,1.07,1.05,1.09,1.03,1.12
Germany,2020-09-11,estimate,1.07,1.08,0.03,1.06,1.07,1.05,1.09,1.03,1.12
Germany,2020-09-12,estimate,1.08,1.08,0.03,1.07,1.09,1.05,1.09,1.03,1.13
Germany,2020-09-13,estimate,1.08,1.08,0.03,1.07,1.09,1.05,1.1,1.03,1.13
Germany,2020-09-14,estimate,1.08,1.08,0.03,1.07,1.08,1.06,1.1,1.03,1.14
Germany,2020-09-15,estimate,1.08,1.08,0.04,1.07,1.08,1.05,1.1,1.02,1.14
Germany,2020-09-16,estimate,1.08,1.08,0.04,1.07,1.09,1.05,1.1,1.02,1.14
Germany,2020-09-17,estimate,1.08,1.08,0.04,1.07,1.09,1.05,1.1,1.02,1.15
Germany,2020-09-18,estimate based on partial data,1.08,1.08,0.04,1.07,1.09,1.05,1.1,1.01,1.15
Germany,2020-09-19,estimate based on partial data,1.08,1.09,0.05,1.06,1.08,1.05,1.1,1.01,1.16
Germany,2020-09-20,estimate based on partial data,1.08,1.09,0.05,1.06,1.08,1.05,1.11,1.01,1.17
Germany,2020-09-21,estimate based on partial data,1.08,1.09,0.05,1.06,1.08,1.05,1.11,1.0,1.18
Germany,2020-09-22,estimate based on partial data,1.08,1.09,0.06,1.06,1.08,1.04,1.11,1.0,1.18
Germany,2020-09-23,estimate based on partial data,1.08,1.09,0.06,1.05,1.07,1.04,1.11,0.99,1.19
Germany,2020-09-24,estimate based on partial data,1.08,1.09,0.07,1.06,1.08,1.04,1.12,0.99,1.2
Germany,2020-09-25,estimate based on partial data,1.08,1.09,0.07,1.05,1.08,1.03,1.11,0.97,1.2
Germany,2020-09-26,estimate based on partial data,1.08,1.09,0.08,1.05,1.08,1.03,1.11,0.97,1.21
Germany,2020-09-27,estimate based on partial data,1.08,1.09,0.08,1.05,1.08,1.03,1.12,0.97,1.22
Germany,2020-09-28,estimate based on partial data,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-09-29,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-09-30,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-01,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-02,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-03,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-04,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-05,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-06,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-07,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-08,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-09,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-10,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-11,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
Germany,2020-10-12,forecast,1.08,1.09,0.09,1.05,1.08,1.03,1.12,0.96,1.23
