country,date,R_low,R_mean,R_high,observed
Austria,2020-06-01,0.865715173475677,1.03968742678181,1.22935187229067,Observed
Austria,2020-06-02,0.857459577659693,1.03013970966662,1.21842575587406,Observed
Austria,2020-06-03,0.843184428997299,1.01388331993634,1.20008313432917,Observed
Austria,2020-06-04,0.827877131596887,0.996593440135798,1.1807236839422,Observed
Austria,2020-06-05,0.816545522220673,0.98391013745004,1.16664539164384,Observed
Austria,2020-06-06,0.812775828695146,0.9798298036899,1.16226465902835,Observed
Austria,2020-06-07,0.818418115751866,0.986346260546547,1.16971185535741,Observed
Austria,2020-06-08,0.833469756698842,1.00332715922406,1.18870286000907,Observed
Austria,2020-06-09,0.855453588835277,1.027857181086,1.21585221448588,Observed
Austria,2020-06-10,0.880240216928016,1.05518990403289,1.24576168949472,Observed
Austria,2020-06-11,0.903476388939741,1.08037944167116,1.2728645530509,Observed
Austria,2020-06-12,0.922099426887111,1.09999175668647,1.29334206664413,Observed
Austria,2020-06-13,0.936051252685968,1.11398860324768,1.30718005275099,Observed
Austria,2020-06-14,0.948326338722541,1.12573884525366,1.31813905436961,Observed
Austria,2020-06-15,0.963654007517903,1.14050580109486,1.33203669775475,Observed
Austria,2020-06-16,0.987127145598581,1.16387391950539,1.3549618832432,Observed
Austria,2020-06-17,1.02204008638899,1.19934610094421,1.39062549824506,Observed
Austria,2020-06-18,1.06874412071016,1.24710323942084,1.43902389933192,Observed
Austria,2020-06-19,1.12457633866348,1.30399147267343,1.49649067149999,Observed
Austria,2020-06-20,1.18406610456901,1.36385776209465,1.55617143281227,Observed
Austria,2020-06-21,1.239923247101,1.41873645744003,1.60941850537504,Observed
Austria,2020-06-22,1.28461751316208,1.46062729067646,1.64777283278151,Observed
Austria,2020-06-23,1.31185013279446,1.48307793563938,1.66465639691314,Observed
Austria,2020-06-24,1.31810552082256,1.48276878536019,1.65698328095201,Observed
Austria,2020-06-25,1.30338513149185,1.46017592997149,1.62574295209389,Observed
Austria,2020-06-26,1.27058933668169,1.41880120692908,1.57507112232447,Observed
Austria,2020-06-27,1.22467606751741,1.36420711189242,1.51115696048048,Observed
Austria,2020-06-28,1.17124100901827,1.30249257805465,1.44061407366443,Observed
Austria,2020-06-29,1.11556380818569,1.2393012496148,1.36945266304594,Observed
Austria,2020-06-30,1.06252555408789,1.17976715270333,1.30305602172533,Observed
Austria,2020-07-01,1.01633394021324,1.12825902931826,1.24594643724605,Observed
Austria,2020-07-02,0.980516206338088,1.08839728297098,1.20182761897083,Observed
Austria,2020-07-03,0.957788964863473,1.06292867386086,1.17346490049483,Observed
Austria,2020-07-04,0.94920794956903,1.05283174040047,1.16174642794846,Observed
Austria,2020-07-05,0.95371659105288,1.05683901104516,1.16517900430892,Observed
Austria,2020-07-06,0.968027555755665,1.07131944450819,1.17977209285979,Observed
Austria,2020-07-07,0.986964891514263,1.09066191697931,1.19946435062643,Observed
Austria,2020-07-08,1.00507072744938,1.10899860255564,1.21796616304623,Observed
Austria,2020-07-09,1.01800855374472,1.12170743000556,1.23036359622919,Observed
Austria,2020-07-10,1.02339477390797,1.12629171261938,1.23404686853753,Observed
Austria,2020-07-11,1.0212097557258,1.12279332778531,1.22912439521878,Observed
Austria,2020-07-12,1.01322812587809,1.11316335996075,1.21773129021968,Observed
Austria,2020-07-13,1.0021965448121,1.10036904312817,1.20306288355276,Observed
Austria,2020-07-14,0.991219756386054,1.08772941619907,1.18865816470871,Observed
Austria,2020-07-15,0.982764220414884,1.07786245962501,1.17728960766131,Observed
Austria,2020-07-16,0.977964118715797,1.07195801323943,1.17020291979045,Observed
Austria,2020-07-17,0.976354750004964,1.06950570121121,1.16684002394825,Observed
Austria,2020-07-18,0.976076769211583,1.06852214416663,1.16509027496051,Observed
