"country","date","R_low","R_mean","R_high","observed"
"Thailand",2020-05-27,0.665899489234161,1.09742614695477,1.63499857796646,"Observed"
"Thailand",2020-05-28,0.644989477326787,1.0646920486635,1.58786912290989,"Observed"
"Thailand",2020-05-29,0.631418565966265,1.04401151216842,1.5586604200026,"Observed"
"Thailand",2020-05-30,0.619738467393974,1.0275182415427,1.5367135446024,"Observed"
"Thailand",2020-05-31,0.605226614688383,1.00847665772453,1.51300357326666,"Observed"
"Thailand",2020-06-01,0.58485937946923,0.982603692732438,1.48185161403352,"Observed"
"Thailand",2020-06-02,0.556766033709513,0.947339764389806,1.44001850246264,"Observed"
"Thailand",2020-06-03,0.520595675699172,0.902224870064418,1.38706405976542,"Observed"
"Thailand",2020-06-04,0.478711555660569,0.850413476308984,1.32715399371274,"Observed"
"Thailand",2020-06-05,0.436074678781159,0.798638829180319,1.2690821877245,"Observed"
"Thailand",2020-06-06,0.399160447230431,0.755993580501433,1.22488057605623,"Observed"
"Thailand",2020-06-07,0.373742127418164,0.731051805554627,1.20621957176871,"Observed"
"Thailand",2020-06-08,0.362907392207504,0.728888830037625,1.22033946677872,"Observed"
"Thailand",2020-06-09,0.367126440318326,0.750634201211533,1.26897619898096,"Observed"
"Thailand",2020-06-10,0.385158132691637,0.794302883559494,1.34902135950144,"Observed"
"Thailand",2020-06-11,0.414234808708802,0.854896426574376,1.45250468622445,"Observed"
"Thailand",2020-06-12,0.449565951609755,0.923847423196907,1.56605306593321,"Observed"
"Thailand",2020-06-13,0.483975490949328,0.988976586849927,1.67138408317824,"Observed"
"Thailand",2020-06-14,0.509974284397629,1.03813635728621,1.75085289017561,"Observed"
"Thailand",2020-06-15,0.523620347834768,1.06526252115481,1.79600671809469,"Observed"
"Thailand",2020-06-16,0.526628997051043,1.07346894066952,1.81174733910941,"Observed"
"Thailand",2020-06-17,0.524648189997846,1.0721813669474,1.81208557867214,"Observed"
"Thailand",2020-06-18,0.523446500590702,1.07104009815277,1.81135589099364,"Observed"
"Thailand",2020-06-19,0.526874924122103,1.07645236831166,1.81904905894768,"Observed"
"Thailand",2020-06-20,0.537604983495408,1.09246204090034,1.84072322878345,"Observed"
"Thailand",2020-06-21,0.557806508702906,1.12178320790572,1.8794644304932,"Observed"
"Thailand",2020-06-22,0.588187736936634,1.16454635742225,1.93444440452342,"Observed"
"Thailand",2020-06-23,0.626204434626825,1.21594857985282,1.99810199378474,"Observed"
"Thailand",2020-06-24,0.664556504552884,1.26459912385312,2.05445926205935,"Observed"
"Thailand",2020-06-25,0.693533283077405,1.29647023745479,2.08487645340365,"Observed"
"Thailand",2020-06-26,0.70712138228936,1.30374550484044,2.07985392978729,"Observed"
"Thailand",2020-06-27,0.706076225963461,1.28882289011208,2.04400940342647,"Observed"
